source,target
u35,u05
u35,u15
u35,u16
u35,u17
u35,u23
u35,u25
u35,u27
u35,u32
u35,u34
u35,u42
u35,u51
u35,u45
u35,u58
u35,u41
u35,u50
u35,u47
u35,u39
u56,u08
u56,u24
u56,u30
u56,u36
u56,u47
u56,u49
u56,u59
u14,u04
u14,u07
u14,u10
u14,u41
u14,u15
u14,u16
u14,u20
u14,u32
u14,u30
u14,u17
u14,u34
u14,u51
u14,u45
u34,u42
u34,u09
u34,u01
u34,u04
u34,u05
u34,u07
u34,u15
u34,u16
u34,u17
u34,u20
u34,u22
u34,u23
u34,u25
u34,u27
u34,u30
u34,u32
u34,u39
u34,u51
u34,u45
u34,u41
u34,u47
u34,u50
u34,u58
u34,u44
u17,u42
u17,u47
u17,u01
u17,u04
u17,u07
u17,u10
u17,u15
u17,u16
u17,u41
u17,u30
u17,u32
u17,u45
u17,u51
u17,u25
u22,u13
u22,u18
u22,u19
u22,u53
u22,u30
u22,u41
u22,u24
u22,u32
u25,u42
u25,u47
u25,u23
u25,u45
u25,u51
u25,u32
u25,u58
u25,u39
u25,u50
u32,u42
u32,u09
u32,u47
u32,u01
u32,u04
u32,u05
u32,u07
u32,u15
u32,u16
u32,u18
u32,u20
u32,u24
u32,u27
u32,u30
u32,u41
u32,u45
u32,u43
u32,u51
u32,u39
u32,u44
u04,u09
u04,u00
u04,u01
u04,u03
u04,u15
u04,u41
u04,u05
u04,u30
u04,u10
u12,u00
u12,u02
u12,u08
u12,u13
u12,u24
u12,u59
u12,u46
u12,u41
u12,u50
u12,u31
u12,u15
u12,u18
u12,u51
u07,u09
u07,u20
u07,u16
u07,u41
u07,u43
u07,u15
u46,u02
u46,u08
u46,u31
u46,u59
u46,u50
u08,u49
u08,u41
u08,u00
u08,u02
u08,u24
u08,u59
u08,u13
u08,u10
u08,u30
u02,u15
u02,u00
u02,u13
u02,u24
u02,u50
u02,u59
u02,u31
u02,u44
u50,u42
u50,u47
u50,u41
u50,u51
u50,u45
u50,u39
u50,u43
u50,u00
u50,u13
u50,u20
u50,u23
u50,u24
u50,u36
u50,u58
u50,u59
u30,u41
u30,u51
u30,u15
u30,u45
u30,u16
u30,u18
u30,u00
u30,u03
u30,u10
u30,u13
u30,u19
u30,u20
u30,u24
u30,u53
u30,u44
u30,u59
u30,u36
u23,u42
u23,u41
u23,u51
u23,u45
u23,u39
u23,u58
u36,u41
u36,u51
u36,u43
u36,u10
u36,u24
u36,u59
u13,u41
u13,u15
u13,u18
u13,u00
u13,u24
u13,u53
u13,u59
u13,u20
u58,u42
u58,u47
u58,u27
u58,u41
u58,u51
u58,u45
u01,u42
u01,u09
u01,u41
u01,u15
u01,u16
u01,u05
u19,u43
u19,u18
u19,u24
u19,u20
u42,u05
u42,u09
u42,u15
u42,u16
u42,u20
u42,u27
u42,u39
u42,u41
u42,u45
u42,u51
u42,u47
u42,u44
u09,u03
u09,u05
u09,u15
u09,u43
u09,u47
u09,u16
u09,u51
u09,u41
u09,u45
u47,u27
u47,u41
u47,u43
u47,u45
u47,u51
u49,u10
u49,u24
u49,u59
u27,u20
u27,u51
u27,u41
u27,u45
u27,u43
u41,u03
u41,u05
u41,u10
u41,u15
u41,u16
u41,u18
u41,u20
u41,u24
u41,u39
u41,u51
u41,u45
u41,u44
u41,u53
u41,u59
u41,u43
u51,u00
u51,u03
u51,u05
u51,u15
u51,u16
u51,u20
u51,u24
u51,u39
u51,u43
u51,u45
u51,u59
u15,u03
u15,u05
u15,u10
u15,u45
u15,u16
u45,u05
u45,u16
u45,u39
u16,u03
u16,u05
u16,u20
u54,u59
u43,u53
u18,u24
u18,u53
u18,u20
u18,u44
u18,u59
u44,u53
u59,u00
u59,u10
u59,u24
u59,u31
u20,u03
u20,u10
u20,u24
u20,u53
u03,u10
u03,u05
u24,u00
u24,u10
u24,u53
