uid,calls_total,call_duration_total,outgoing_ratio_calls,sms_total,outgoing_ratio_sms,comm_freq_day,comm_freq_week,unique_contacts,contact_entropy
u00,2203,59364.0,0.0,1864,0.0,4067.0,4067.0,3516,7.890630252274912
u01,1487,0.0,,1487,,2974.0,2974.0,2972,7.996730848082317
u02,1669,17852.0,0.0,3907,0.0,5576.0,5576.0,3262,7.501551749470237
u03,1269,0.0,,1269,,2538.0,2538.0,2538,7.839131645736334
u04,1445,0.0,,1445,,2890.0,2890.0,2886,7.9670930316998945
u05,1455,0.0,,1455,,2910.0,2910.0,2910,7.975908357255541
u07,1217,0.0,,1217,,2434.0,2434.0,2434,7.7972912711134725
u08,1936,28143.0,0.0,4145,0.0,6081.0,6081.0,3151,7.392959241419555
u09,1565,0.0,,1565,,3130.0,3130.0,3128,8.047902469312833
u10,1662,0.0,,1662,,3324.0,3324.0,3324,8.10892415265134
u12,1845,111082.0,0.0,2894,0.0,4739.0,4739.0,3368,7.7137699128907435
u13,1964,48086.0,0.0,1692,0.0,3656.0,3656.0,2868,7.34968851686233
u14,1400,0.0,,1400,,2800.0,2800.0,2800,7.937374693363293
u15,806,0.0,,806,,1612.0,1612.0,1612,7.385230921454573
u16,1505,0.0,,1505,0.0,3010.0,3010.0,3010,8.009695354732921
u17,1613,0.0,,1613,,3226.0,3226.0,3226,8.078998255459155
u18,1336,0.0,,1336,,2672.0,2672.0,2670,7.889544886506656
u19,1624,0.0,,1624,,3248.0,3248.0,3248,8.08579469803357
u20,1107,0.0,,1107,,2214.0,2214.0,2214,7.70255611105458
u22,1390,0.0,,1391,0.0,2781.0,2781.0,2780,7.930067363729724
u23,1408,0.0,,1408,,2816.0,2816.0,2816,7.943072714461936
u24,880,14457.0,0.0,1120,0.0,2000.0,2000.0,1602,7.172252039798769
u25,781,0.0,,781,0.0,1562.0,1562.0,1562,7.353722328837632
u27,1610,0.0,,1610,,3220.0,3220.0,3220,8.077136635318453
u30,1531,0.0,,1531,,3062.0,3062.0,3058,8.025012607305785
u31,1612,15747.0,0.0,2745,0.0,4357.0,4357.0,2886,7.148278634890318
u32,1241,0.0,,1241,0.0,2482.0,2482.0,2482,7.816819963282551
u33,1310,0.0,,1310,,2620.0,2620.0,2584,7.8387216556842665
u34,828,0.0,,828,,1656.0,1656.0,1656,7.4121603332892025
u35,1612,0.0,,1612,,3224.0,3224.0,3224,8.07837810040252
u36,1827,462.0,0.0,1825,0.0,3652.0,3652.0,3631,8.194628834465345
u39,534,0.0,,534,,1068.0,1068.0,1068,6.9735430184521405
u41,1100,0.0,,1100,,2200.0,2200.0,2200,7.696212637146406
u42,1084,0.0,,1084,,2168.0,2168.0,2164,7.679002621721885
u43,1246,0.0,,1246,0.0,2492.0,2492.0,2492,7.8208408774153435
u44,1470,0.0,,1470,,2940.0,2940.0,2932,7.982036676728454
u45,945,0.0,,945,,1890.0,1890.0,1890,7.544332106163688
u46,1512,13564.0,0.0,2976,0.0,4488.0,4488.0,2689,7.36760144232254
u47,1394,28287.0,0.0,970,0.0,2364.0,2364.0,1942,6.952473795050608
u49,2180,169073.0,0.0,3017,0.0,5197.0,5197.0,3083,7.101216890732582
u50,994,816.0,0.0,980,0.0,1974.0,1974.0,1906,7.488786647182973
u51,2215,4688.0,0.0,2169,0.0,4384.0,4384.0,4312,8.329186249963502
u52,1818,15148.0,0.0,1597,,3415.0,3415.0,3174,7.84428115646372
u53,1477,80.0,0.0,1473,,2950.0,2950.0,2944,7.985892724937523
u54,1549,28609.0,0.0,4952,0.0,6501.0,6501.0,2110,6.301558439336765
u56,1657,21507.0,0.0,4913,0.0,6570.0,6570.0,3143,6.423369830971924
u57,1855,17274.0,0.0,5292,0.0,7147.0,7147.0,3264,6.961960223005873
u58,1632,15120.0,0.0,1624,0.0,3256.0,3256.0,3027,7.8304313342516565
u59,2001,31610.0,0.0,4847,0.0,6848.0,6848.0,3491,7.453717372752922
