layer,uid,community
phy,u34,0
phy,u13,0
beh,u58,0
phy,u53,0
beh,u43,0
phy,u36,0
beh,u45,0
beh,u51,0
phy,u10,0
phy,u07,0
beh,u53,0
phy,u39,0
phy,u20,0
phy,u31,0
beh,u19,0
beh,u27,0
beh,u15,0
edu,u39,0
phy,u54,0
phy,u14,0
phy,u30,0
beh,u46,0
beh,u41,0
beh,u44,0
beh,u23,0
beh,u22,0
beh,u54,0
phy,u57,0
beh,u14,0
phy,u49,0
beh,u17,0
beh,u16,0
beh,u01,0
beh,u18,0
phy,u05,0
phy,u25,0
edu,u01,0
edu,u33,0
phy,u50,0
phy,u42,0
beh,u03,0
beh,u25,0
phy,u59,0
phy,u58,0
beh,u09,0
phy,u45,0
beh,u00,0
edu,u00,0
phy,u08,0
beh,u59,0
beh,u13,0
beh,u34,0
phy,u19,0
phy,u27,0
beh,u36,0
phy,u15,0
beh,u08,0
beh,u10,0
edu,u36,0
beh,u07,0
phy,u46,0
phy,u23,0
phy,u41,0
phy,u44,0
beh,u39,0
beh,u20,0
beh,u31,0
phy,u22,0
phy,u04,0
phy,u02,0
beh,u30,0
phy,u35,0
phy,u17,0
phy,u47,0
phy,u01,0
phy,u18,0
phy,u16,0
phy,u33,0
beh,u04,0
phy,u12,0
beh,u02,0
beh,u57,0
phy,u24,0
beh,u49,0
beh,u35,0
beh,u47,0
beh,u33,0
beh,u12,0
phy,u03,0
beh,u24,0
beh,u05,0
phy,u32,0
beh,u50,0
beh,u42,0
phy,u09,0
phy,u00,0
beh,u32,0
phy,u43,0
phy,u51,0
edu,u58,1
edu,u43,1
edu,u59,1
edu,u51,1
edu,u34,1
edu,u45,1
edu,u13,1
edu,u53,1
edu,u08,1
edu,u10,1
edu,u07,1
edu,u19,1
edu,u15,1
edu,u27,1
edu,u20,1
edu,u31,1
edu,u23,1
edu,u41,1
edu,u44,1
edu,u22,1
edu,u46,1
edu,u54,1
edu,u30,1
edu,u14,1
edu,u04,1
edu,u02,1
edu,u57,1
edu,u49,1
edu,u18,1
edu,u35,1
edu,u17,1
edu,u47,1
edu,u16,1
edu,u12,1
edu,u24,1
edu,u05,1
edu,u50,1
edu,u25,1
edu,u03,1
edu,u42,1
edu,u32,1
edu,u52,1
edu,u09,1
edu,u56,2
phy,u56,2
beh,u56,2
phy,u52,3
beh,u52,3
