community,uid,internal_degree,internal_weighted_degree,internal_wdeg_zscore,global_weighted_degree,is_core,core_rank_by_internal_weight,core_threshold_weight,core_mean_weight,core_std_weight
0,u30,20,78.93,1.524,153.787,1,1,64.373,54.398,16.094
0,u41,20,75.919,1.337,148.01,1,2,64.373,54.398,16.094
0,u05,20,68.895,0.901,132.081,1,3,64.373,54.398,16.094
0,u15,20,64.565,0.632,133.491,1,4,64.373,54.398,16.094
0,u10,20,64.373,0.62,128.394,1,5,64.373,54.398,16.094
0,u04,20,62.974,0.533,125.703,0,6,64.373,54.398,16.094
0,u46,20,60.507,0.38,123.647,0,7,64.373,54.398,16.094
0,u32,20,60.234,0.363,131.818,0,8,64.373,54.398,16.094
0,u16,20,59.949,0.345,125.126,0,9,64.373,54.398,16.094
0,u19,20,59.381,0.31,117.918,0,10,64.373,54.398,16.094
0,u22,20,58.938,0.282,119.707,0,11,64.373,54.398,16.094
0,u09,20,58.779,0.272,124.228,0,12,64.373,54.398,16.094
0,u59,20,52.634,-0.11,116.222,0,13,64.373,54.398,16.094
0,u52,18,51.251,-0.196,102.541,0,14,64.373,54.398,16.094
0,u14,20,50.787,-0.224,109.489,0,15,64.373,54.398,16.094
0,u43,20,48.646,-0.357,107.297,0,16,64.373,54.398,16.094
0,u54,20,46.89,-0.466,101.654,0,17,64.373,54.398,16.094
0,u49,20,46.575,-0.486,103.365,0,18,64.373,54.398,16.094
0,u03,18,46.536,-0.488,98.454,0,19,64.373,54.398,16.094
0,u01,18,15.957,-2.389,26.54,0,20,64.373,54.398,16.094
0,u33,18,9.625,-2.782,16.063,0,21,64.373,54.398,16.094
1,u42,11,50.43,0.856,134.74,1,1,47.461,39.73,12.498
1,u35,11,49.427,0.776,130.805,1,2,47.461,39.73,12.498
1,u34,11,48.987,0.741,145.244,1,3,47.461,39.73,12.498
1,u51,11,47.461,0.619,134.328,1,4,47.461,39.73,12.498
1,u45,11,46.629,0.552,131.105,0,5,47.461,39.73,12.498
1,u23,11,44.905,0.414,120.366,0,6,47.461,39.73,12.498
1,u58,10,43.827,0.328,116.042,0,7,47.461,39.73,12.498
1,u20,10,41.154,0.114,126.407,0,8,47.461,39.73,12.498
1,u13,10,38.492,-0.099,116.37,0,9,47.461,39.73,12.498
1,u25,11,32.803,-0.554,115.464,0,10,47.461,39.73,12.498
1,u27,10,28.191,-0.923,110.362,0,11,47.461,39.73,12.498
1,u39,7,4.452,-2.823,6.934,0,12,47.461,39.73,12.498
2,u07,7,31.461,0.932,123.533,1,1,30.481,20.53,11.723
2,u24,10,31.26,0.915,132.526,1,2,30.481,20.53,11.723
2,u57,7,30.481,0.849,118.753,1,3,30.481,20.53,11.723
2,u50,9,27.027,0.554,108.625,0,4,30.481,20.53,11.723
2,u02,8,26.83,0.537,119.42,0,5,30.481,20.53,11.723
2,u44,7,26.258,0.489,108.689,0,6,30.481,20.53,11.723
2,u47,8,25.843,0.453,112.662,0,7,30.481,20.53,11.723
2,u31,10,20.722,0.016,104.69,0,8,30.481,20.53,11.723
2,u00,4,3.395,-1.462,10.942,0,9,30.481,20.53,11.723
2,u36,4,1.506,-1.623,6.068,0,10,30.481,20.53,11.723
2,u56,4,1.051,-1.662,2.502,0,11,30.481,20.53,11.723
3,u12,4,20.357,1.275,129.082,1,1,19.998,18.535,1.429
3,u18,4,19.998,1.024,112.235,1,2,19.998,18.535,1.429
3,u08,4,18.158,-0.264,112.381,0,3,19.998,18.535,1.429
3,u17,4,17.516,-0.713,123.562,0,4,19.998,18.535,1.429
3,u53,4,16.646,-1.322,99.976,0,5,19.998,18.535,1.429
