category,file_pattern,has_time_series,time_fields,event_type,notes
Activity sensing,sensing/activity/activity_uXX.csv,yes,timestamp,point,"activity inference labels"
Audio sensing,sensing/audio/audio_uXX.csv,yes,timestamp,point,"multiple values per timestamp possible"
Bluetooth sensing,sensing/bluetooth/bt_uXX.csv,yes,time,point,"MAC,class_id,signal level; many devices at same time"
Conversation sensing,sensing/conversation/conversation_uXX.csv,yes,start_timestamp|end_timestamp,interval,"conversation segments"
Dark sensing,sensing/dark/dark_uXX.csv,yes,start|end,interval,"dark/light state intervals"
GPS sensing,sensing/gps/gps_uXX.csv,yes,timestamp,point,"provider,network_type,travelstate; some missing fields"
Phone charge,sensing/phonecharge/phonecharge_uXX.csv,yes,start|end,interval,"charging sessions"
Phone lock,sensing/phonelock/phonelock_uXX.csv,yes,start|end,interval,"screen lock sessions"
WiFi scan,sensing/wifi/wifi_uXX.csv,yes,timestamp,point,"multiple BSSID per timestamp"
WiFi location,sensing/wifi_location/wifi_location_uXX.csv,yes,time,point,"location label (in/near ...)"
App usage,app_usage/running_app_uXX.csv,yes,timestamp,point,"running tasks, package/activity fields"
Calendar events,calendar/calendar_uXX.csv,yes,DATE|TIME (parsed to start|end),interval,"event co-presence; start/end may be derived"
Call log,call_log/call_log_uXX.csv,yes,timestamp,point,"phone call events"
SMS,sms/sms_uXX.csv,yes,timestamp,point,"text message events"
Dining,dinning/uXX.txt,yes,datetime,point,"venue and meal type per line"
EMA Activity,EMA/response/Activity/Activity_uXX.json,yes,resp_time,point,"self-report activity context"
EMA Behavior,EMA/response/Behavior/Behavior_uXX.json,yes,resp_time,point,"self-report mood/traits"
EMA Class,EMA/response/Class/Class_uXX.json,yes,resp_time,point,"course-related self-report incl. location"
Education deadlines,education/deadlines.csv,yes,date columns,aggregate/day-level,"daily counts per user (wide table)"
Education piazza,education/piazza.csv,no,,static,"aggregated participation metrics per user"
Education class,education/class.csv,no,,static,"enrolled courses list per user"
Education grades,education/grades.csv,no,,static,"GPA and course grades per user"
Survey BigFive,survey/BigFive.csv,no,,static,"personality scores; may have a date but not time series"
Survey PHQ-9,survey/PHQ-9.csv,no,,static,"depression scale scores"
Survey PANAS,survey/panas.csv,no,,static,"affect scale scores"
Survey PSQI,survey/psqi.csv,no,,static,"sleep quality scores"
Survey VR-12,survey/vr_12.csv,no,,static,"health-related quality of life scores"
Raw accelerometer features,rawaccfeat/accfeat_uXX.db,yes,time windows,feature stream,"time-windowed feature database (binary)"
