source,target
u35,u02
u35,u03
u35,u04
u35,u05
u35,u07
u35,u08
u35,u09
u35,u10
u35,u12
u35,u13
u35,u14
u35,u15
u35,u16
u35,u17
u35,u18
u35,u19
u35,u20
u35,u22
u35,u23
u35,u24
u35,u25
u35,u27
u35,u30
u35,u31
u35,u32
u35,u34
u35,u41
u35,u42
u35,u43
u35,u44
u35,u45
u35,u46
u35,u47
u35,u49
u35,u50
u35,u51
u35,u52
u35,u53
u35,u54
u35,u57
u35,u58
u35,u59
u42,u02
u42,u03
u42,u04
u42,u05
u42,u07
u42,u08
u42,u09
u42,u10
u42,u12
u42,u13
u42,u14
u42,u15
u42,u16
u42,u17
u42,u18
u42,u19
u42,u20
u42,u22
u42,u23
u42,u24
u42,u25
u42,u27
u42,u30
u42,u31
u42,u32
u42,u34
u42,u41
u42,u43
u42,u44
u42,u45
u42,u46
u42,u47
u42,u49
u42,u50
u42,u51
u42,u52
u42,u53
u42,u54
u42,u57
u42,u58
u42,u59
u09,u02
u09,u03
u09,u04
u09,u05
u09,u07
u09,u08
u09,u10
u09,u12
u09,u13
u09,u14
u09,u15
u09,u16
u09,u17
u09,u18
u09,u19
u09,u20
u09,u22
u09,u23
u09,u24
u09,u25
u09,u27
u09,u30
u09,u31
u09,u32
u09,u34
u09,u41
u09,u43
u09,u44
u09,u45
u09,u46
u09,u47
u09,u49
u09,u50
u09,u51
u09,u52
u09,u53
u09,u54
u09,u57
u09,u58
u09,u59
u14,u02
u14,u03
u14,u04
u14,u05
u14,u07
u14,u08
u14,u10
u14,u12
u14,u13
u14,u15
u14,u16
u14,u17
u14,u18
u14,u19
u14,u20
u14,u22
u14,u23
u14,u24
u14,u25
u14,u27
u14,u30
u14,u31
u14,u32
u14,u34
u14,u41
u14,u43
u14,u44
u14,u45
u14,u46
u14,u47
u14,u49
u14,u50
u14,u51
u14,u52
u14,u53
u14,u54
u14,u57
u14,u58
u14,u59
u34,u02
u34,u03
u34,u04
u34,u05
u34,u07
u34,u08
u34,u10
u34,u12
u34,u13
u34,u15
u34,u16
u34,u17
u34,u18
u34,u19
u34,u20
u34,u22
u34,u23
u34,u24
u34,u25
u34,u27
u34,u30
u34,u31
u34,u32
u34,u41
u34,u43
u34,u44
u34,u45
u34,u46
u34,u47
u34,u49
u34,u50
u34,u51
u34,u52
u34,u53
u34,u54
u34,u57
u34,u58
u34,u59
u47,u02
u47,u03
u47,u04
u47,u05
u47,u07
u47,u08
u47,u10
u47,u12
u47,u13
u47,u15
u47,u16
u47,u17
u47,u18
u47,u19
u47,u20
u47,u22
u47,u23
u47,u24
u47,u25
u47,u27
u47,u30
u47,u31
u47,u32
u47,u41
u47,u43
u47,u44
u47,u45
u47,u46
u47,u49
u47,u50
u47,u51
u47,u52
u47,u53
u47,u54
u47,u57
u47,u58
u47,u59
u17,u02
u17,u03
u17,u04
u17,u05
u17,u07
u17,u08
u17,u10
u17,u12
u17,u13
u17,u15
u17,u16
u17,u18
u17,u19
u17,u20
u17,u22
u17,u23
u17,u24
u17,u25
u17,u27
u17,u30
u17,u31
u17,u32
u17,u41
u17,u43
u17,u44
u17,u45
u17,u46
u17,u49
u17,u50
u17,u51
u17,u52
u17,u53
u17,u54
u17,u57
u17,u58
u17,u59
u22,u02
u22,u03
u22,u04
u22,u05
u22,u07
u22,u08
u22,u10
u22,u12
u22,u13
u22,u15
u22,u16
u22,u18
u22,u19
u22,u20
u22,u23
u22,u24
u22,u25
u22,u27
u22,u30
u22,u31
u22,u32
u22,u41
u22,u43
u22,u44
u22,u45
u22,u46
u22,u49
u22,u50
u22,u51
u22,u52
u22,u53
u22,u54
u22,u57
u22,u58
u22,u59
u25,u02
u25,u03
u25,u04
u25,u05
u25,u07
u25,u08
u25,u10
u25,u12
u25,u13
u25,u15
u25,u16
u25,u18
u25,u19
u25,u20
u25,u23
u25,u24
u25,u27
u25,u30
u25,u31
u25,u32
u25,u41
u25,u43
u25,u44
u25,u45
u25,u46
u25,u49
u25,u50
u25,u51
u25,u52
u25,u53
u25,u54
u25,u57
u25,u58
u25,u59
u32,u02
u32,u03
u32,u04
u32,u05
u32,u07
u32,u08
u32,u10
u32,u12
u32,u13
u32,u15
u32,u16
u32,u18
u32,u19
u32,u20
