source,target,weight
u35,u02,1.0
u35,u03,1.0
u35,u04,1.0
u35,u05,1.0
u35,u07,1.0
u35,u08,1.0
u35,u09,1.0
u35,u10,1.0
u35,u12,1.0
u35,u13,2.0
u35,u14,1.0
u35,u15,1.0
u35,u16,1.0
u35,u17,1.0
u35,u18,1.0
u35,u19,1.0
u35,u20,2.0
u35,u22,1.0
u35,u23,2.0
u35,u24,1.0
u35,u25,1.0
u35,u27,1.0
u35,u30,1.0
u35,u31,1.0
u35,u32,1.0
u35,u34,2.0
u35,u41,1.0
u35,u42,2.0
u35,u43,1.0
u35,u44,1.0
u35,u45,2.0
u35,u46,1.0
u35,u47,1.0
u35,u49,1.0
u35,u50,1.0
u35,u51,2.0
u35,u52,1.0
u35,u53,1.0
u35,u54,1.0
u35,u57,1.0
u35,u58,2.0
u35,u59,1.0
u42,u02,1.0
u42,u03,1.0
u42,u04,1.0
u42,u05,1.0
u42,u07,1.0
u42,u08,1.0
u42,u09,1.0
u42,u10,1.0
u42,u12,1.0
u42,u13,2.0
u42,u14,1.0
u42,u15,1.0
u42,u16,1.0
u42,u17,1.0
u42,u18,1.0
u42,u19,1.0
u42,u20,2.0
u42,u22,1.0
u42,u23,2.0
u42,u24,1.0
u42,u25,1.0
u42,u27,1.0
u42,u30,1.0
u42,u31,1.0
u42,u32,1.0
u42,u34,2.0
u42,u41,1.0
u42,u43,1.0
u42,u44,1.0
u42,u45,2.0
u42,u46,1.0
u42,u47,1.0
u42,u49,1.0
u42,u50,1.0
u42,u51,2.0
u42,u52,1.0
u42,u53,1.0
u42,u54,1.0
u42,u57,1.0
u42,u58,2.0
u42,u59,1.0
u09,u02,1.0
u09,u03,1.0
u09,u04,1.0
u09,u05,1.0
u09,u07,1.0
u09,u08,1.0
u09,u10,1.0
u09,u12,1.0
u09,u13,1.0
u09,u14,1.0
u09,u15,1.0
u09,u16,1.0
u09,u17,1.0
u09,u18,1.0
u09,u19,1.0
u09,u20,1.0
u09,u22,1.0
u09,u23,1.0
u09,u24,1.0
u09,u25,1.0
u09,u27,1.0
u09,u30,1.0
u09,u31,1.0
u09,u32,1.0
u09,u34,1.0
u09,u41,1.0
u09,u43,1.0
u09,u44,1.0
u09,u45,1.0
u09,u46,1.0
u09,u47,1.0
u09,u49,1.0
u09,u50,1.0
u09,u51,1.0
u09,u52,1.0
u09,u53,1.0
u09,u54,1.0
u09,u57,1.0
u09,u58,1.0
u09,u59,1.0
u14,u02,1.0
u14,u03,1.0
u14,u04,1.0
u14,u05,1.0
u14,u07,1.0
u14,u08,1.0
u14,u10,1.0
u14,u12,1.0
u14,u13,1.0
u14,u15,1.0
u14,u16,2.0
u14,u17,1.0
u14,u18,1.0
u14,u19,1.0
u14,u20,1.0
u14,u22,1.0
u14,u23,1.0
u14,u24,1.0
u14,u25,1.0
u14,u27,1.0
u14,u30,1.0
u14,u31,1.0
u14,u32,1.0
u14,u34,1.0
u14,u41,1.0
u14,u43,1.0
u14,u44,1.0
u14,u45,1.0
u14,u46,1.0
u14,u47,1.0
u14,u49,1.0
u14,u50,1.0
u14,u51,1.0
u14,u52,1.0
u14,u53,1.0
u14,u54,1.0
u14,u57,1.0
u14,u58,1.0
u14,u59,1.0
u34,u02,1.0
u34,u03,1.0
u34,u04,1.0
u34,u05,1.0
u34,u07,1.0
u34,u08,1.0
u34,u10,1.0
u34,u12,1.0
u34,u13,2.0
u34,u15,1.0
u34,u16,1.0
u34,u17,1.0
u34,u18,1.0
u34,u19,1.0
u34,u20,2.0
u34,u22,1.0
u34,u23,2.0
u34,u24,1.0
u34,u25,1.0
u34,u27,1.0
u34,u30,1.0
u34,u31,1.0
u34,u32,1.0
u34,u41,1.0
u34,u43,1.0
u34,u44,1.0
u34,u45,2.0
u34,u46,1.0
u34,u47,1.0
u34,u49,1.0
u34,u50,1.0
u34,u51,2.0
u34,u52,1.0
u34,u53,1.0
u34,u54,1.0
u34,u57,1.0
u34,u58,2.0
u34,u59,1.0
u47,u02,1.0
u47,u03,1.0
u47,u04,1.0
u47,u05,1.0
u47,u07,2.0
u47,u08,1.0
u47,u10,1.0
u47,u12,1.0
u47,u13,1.0
u47,u15,1.0
u47,u16,1.0
u47,u17,1.0
u47,u18,1.0
u47,u19,1.0
u47,u20,1.0
u47,u22,1.0
u47,u23,1.0
u47,u24,2.0
u47,u25,1.0
u47,u27,1.0
u47,u30,1.0
u47,u31,1.0
u47,u32,1.0
u47,u41,1.0
u47,u43,1.0
u47,u44,2.0
u47,u45,1.0
u47,u46,1.0
u47,u49,1.0
u47,u50,2.0
u47,u51,1.0
u47,u52,1.0
u47,u53,1.0
u47,u54,1.0
u47,u57,2.0
u47,u58,1.0
u47,u59,1.0
u17,u02,1.0
u17,u03,1.0
u17,u04,1.0
u17,u05,1.0
u17,u07,1.0
u17,u08,2.0
u17,u10,1.0
u17,u12,2.0
u17,u13,1.0
u17,u15,1.0
u17,u16,1.0
u17,u18,2.0
u17,u19,1.0
u17,u20,1.0
u17,u22,1.0
u17,u23,1.0
u17,u24,1.0
u17,u25,1.0
u17,u27,1.0
u17,u30,1.0
u17,u31,1.0
u17,u32,1.0
u17,u41,1.0
u17,u43,1.0
u17,u44,1.0
u17,u45,1.0
u17,u46,1.0
u17,u49,1.0
u17,u50,1.0
u17,u51,1.0
u17,u52,1.0
u17,u53,2.0
u17,u54,1.0
u17,u57,1.0
u17,u58,1.0
u17,u59,1.0
u22,u02,1.0
u22,u03,1.0
u22,u04,1.0
u22,u05,2.0
u22,u07,1.0
u22,u08,1.0
u22,u10,2.0
u22,u12,2.0
u22,u13,1.0
u22,u15,1.0
u22,u16,1.0
u22,u18,1.0
u22,u19,2.0
u22,u20,1.0
u22,u23,1.0
u22,u24,1.0
u22,u25,1.0
u22,u27,1.0
u22,u30,2.0
u22,u31,1.0
u22,u32,1.0
u22,u41,2.0
u22,u43,1.0
u22,u44,1.0
u22,u45,1.0
u22,u46,2.0
u22,u49,1.0
u22,u50,1.0
u22,u51,1.0
u22,u52,2.0
u22,u53,1.0
u22,u54,1.0
u22,u57,1.0
u22,u58,1.0
u22,u59,1.0
u25,u02,1.0
u25,u03,1.0
u25,u04,1.0
u25,u05,1.0
u25,u07,1.0
u25,u08,1.0
u25,u10,1.0
u25,u12,1.0
u25,u13,1.0
u25,u15,1.0
u25,u16,1.0
u25,u18,1.0
u25,u19,1.0
u25,u20,1.0
u25,u23,1.0
u25,u24,1.0
u25,u27,1.0
u25,u30,1.0
u25,u31,1.0
u25,u32,1.0
u25,u41,1.0
u25,u43,1.0
u25,u44,1.0
u25,u45,1.0
u25,u46,1.0
u25,u49,1.0
u25,u50,1.0
u25,u51,1.0
u25,u52,1.0
u25,u53,1.0
u25,u54,1.0
u25,u57,1.0
u25,u58,1.0
u25,u59,1.0
u32,u02,1.0
u32,u03,1.0
u32,u04,1.0
u32,u05,1.0
u32,u07,1.0
u32,u08,1.0
u32,u10,1.0
u32,u12,1.0
u32,u13,1.0
u32,u15,1.0
u32,u16,1.0
u32,u18,1.0
u32,u19,1.0
u32,u20,1.0
u32,u23,1.0
u32,u24,1.0
u32,u27,1.0
u32,u30,1.0
u32,u31,1.0
u32,u41,1.0
u32,u43,1.0
u32,u44,1.0
u32,u45,1.0
u32,u46,1.0
u32,u49,1.0
u32,u50,1.0
