Task,Feature_Combination,N_Features,Model,CV_AUC_Mean,CV_AUC_Std,Train_AUC,Precision,Recall,F1
Mental Health Risk,Physical Layer Only,8,Random Forest,0.3645833333333333,0.09626492580916003,0.9330143540669855,1.0,0.6363636363636364,0.7777777777777778
Mental Health Risk,Physical Layer Only,8,Logistic Regression,0.5169642857142857,0.18627148554336118,0.7583732057416268,0.3225806451612903,0.9090909090909091,0.4761904761904761
Mental Health Risk,Physical Layer Only,8,SVM,0.35119047619047616,0.1564015704753809,0.2822966507177033,0.30303030303030304,0.9090909090909091,0.45454545454545453
Mental Health Risk,Behavioral Layer Only,7,Random Forest,0.587797619047619,0.05473278211128798,0.9976076555023924,0.8461538461538461,1.0,0.9166666666666666
Mental Health Risk,Behavioral Layer Only,7,Logistic Regression,0.4770833333333333,0.11841199359337454,0.6746411483253588,0.36363636363636365,0.7272727272727273,0.4848484848484849
Mental Health Risk,Behavioral Layer Only,7,SVM,0.6068452380952382,0.08167135207994843,0.8110047846889953,0.42105263157894735,0.7272727272727273,0.5333333333333333
Mental Health Risk,Educational Layer Only,8,Random Forest,0.2824404761904762,0.2223084795744484,0.9114832535885168,0.8571428571428571,0.5454545454545454,0.6666666666666665
Mental Health Risk,Educational Layer Only,8,Logistic Regression,0.09345238095238095,0.09923888355413062,0.5430622009569378,0.3333333333333333,0.36363636363636365,0.34782608695652173
Mental Health Risk,Educational Layer Only,8,SVM,0.15,0.0877365606895589,0.3875598086124402,1.0,0.09090909090909091,0.16666666666666669
Mental Health Risk,Single-Layer Features,22,Random Forest,0.45476190476190476,0.1665964988348683,1.0,1.0,1.0,1.0
Mental Health Risk,Single-Layer Features,22,Logistic Regression,0.4023809523809524,0.1360792919446053,0.8205741626794258,0.47368421052631576,0.8181818181818182,0.6
Mental Health Risk,Single-Layer Features,22,SVM,0.3744047619047619,0.14445289308973863,0.069377990430622,0.45454545454545453,0.9090909090909091,0.6060606060606061
Mental Health Risk,Multi-Layer Features,8,Random Forest,0.35,0.1040322261687822,0.9940191387559809,0.9090909090909091,0.9090909090909091,0.9090909090909091
Mental Health Risk,Multi-Layer Features,8,Logistic Regression,0.3732142857142857,0.19710921037923754,0.6925837320574163,0.3181818181818182,0.6363636363636364,0.4242424242424242
Mental Health Risk,Multi-Layer Features,8,SVM,0.24166666666666664,0.13017082793177756,0.3074162679425837,0.26666666666666666,0.7272727272727273,0.3902439024390244
Mental Health Risk,Single+Multi (Topology),30,Random Forest,0.39583333333333337,0.15434926674631375,1.0,1.0,1.0,1.0
Mental Health Risk,Single+Multi (Topology),30,Logistic Regression,0.375,0.17749676628270253,0.854066985645933,0.5,0.9090909090909091,0.6451612903225806
Mental Health Risk,Single+Multi (Topology),30,SVM,0.31726190476190474,0.10657255627302412,0.08851674641148324,0.4074074074074074,1.0,0.5789473684210525
Mental Health Risk,Topology+Attributes,36,Random Forest,1.0,0.0,1.0,1.0,1.0,1.0
Mental Health Risk,Topology+Attributes,36,Logistic Regression,0.7678571428571429,0.23035022137995856,1.0,1.0,1.0,1.0
Mental Health Risk,Topology+Attributes,36,SVM,0.6892857142857143,0.16897424631690872,0.9952153110047848,0.9166666666666666,1.0,0.9565217391304348
Mental Health Risk,All Features,48,Random Forest,1.0,0.0,1.0,1.0,1.0,1.0
Mental Health Risk,All Features,48,Logistic Regression,0.7708333333333334,0.20010980545781062,1.0,1.0,1.0,1.0
Mental Health Risk,All Features,48,SVM,0.6059523809523809,0.1639727004268112,0.9952153110047848,0.9166666666666666,1.0,0.9565217391304348
Social Health Risk,Physical Layer Only,8,Random Forest,0.4720238095238095,0.12162900707812999,0.9222488038277512,0.4583333333333333,1.0,0.6285714285714286
Social Health Risk,Physical Layer Only,8,Logistic Regression,0.32857142857142857,0.14667335811111654,0.6854066985645932,0.30434782608695654,0.6363636363636364,0.411764705882353
Social Health Risk,Physical Layer Only,8,SVM,0.4595238095238095,0.08768101619453912,0.2739234449760765,0.3333333333333333,0.6363636363636364,0.43749999999999994
Social Health Risk,Behavioral Layer Only,7,Random Forest,0.8068452380952381,0.24458491956745534,1.0,1.0,1.0,1.0
Social Health Risk,Behavioral Layer Only,7,Logistic Regression,0.7636904761904761,0.21444769010503056,0.8540669856459331,0.5714285714285714,0.7272727272727273,0.64
Social Health Risk,Behavioral Layer Only,7,SVM,0.7357142857142858,0.32857142857142857,0.8564593301435407,0.6666666666666666,0.7272727272727273,0.6956521739130435
Social Health Risk,Educational Layer Only,8,Random Forest,0.44226190476190474,0.2063712881194734,0.8744019138755981,0.5,0.9090909090909091,0.6451612903225806
Social Health Risk,Educational Layer Only,8,Logistic Regression,0.32321428571428573,0.24812112845897485,0.6112440191387559,0.3157894736842105,0.5454545454545454,0.39999999999999997
Social Health Risk,Educational Layer Only,8,SVM,0.3107142857142857,0.22175595038377718,0.3839712918660287,0.35294117647058826,0.5454545454545454,0.42857142857142855
Social Health Risk,Single-Layer Features,22,Random Forest,0.6601190476190476,0.31954030899136154,1.0,1.0,1.0,1.0
Social Health Risk,Single-Layer Features,22,Logistic Regression,0.6125,0.2743033848474632,0.8971291866028709,0.5294117647058824,0.8181818181818182,0.6428571428571428
Social Health Risk,Single-Layer Features,22,SVM,0.5303571428571429,0.23861847269271522,0.8851674641148326,0.47619047619047616,0.9090909090909091,0.6249999999999999
Social Health Risk,Multi-Layer Features,8,Random Forest,0.5744047619047619,0.22076834494899686,0.998803827751196,0.8461538461538461,1.0,0.9166666666666666
Social Health Risk,Multi-Layer Features,8,Logistic Regression,0.6178571428571429,0.2561364233117554,0.8217703349282297,0.45,0.8181818181818182,0.5806451612903226
Social Health Risk,Multi-Layer Features,8,SVM,0.5255952380952381,0.2355639251069471,0.8480861244019139,0.45,0.8181818181818182,0.5806451612903226
Social Health Risk,Single+Multi (Topology),30,Random Forest,0.6375,0.2583182462129429,1.0,1.0,1.0,1.0
