type,src_layer,dst_layer,u,v,weight
diag,Behavior,Physical,u00,u00,1.0
inter,Behavior,Physical,u00,u20,0.14624999999999996
inter,Behavior,Physical,u00,u42,0.0975
diag,Behavior,Physical,u01,u01,1.0
inter,Behavior,Physical,u01,u36,0.14624999999999996
inter,Behavior,Physical,u01,u42,0.14624999999999996
diag,Behavior,Physical,u02,u02,1.0
diag,Behavior,Physical,u03,u03,1.0
inter,Behavior,Physical,u03,u20,0.14624999999999996
inter,Behavior,Physical,u03,u36,0.195
inter,Behavior,Physical,u03,u42,0.14624999999999996
inter,Behavior,Physical,u03,u47,0.18958333333333333
diag,Behavior,Physical,u04,u04,1.0
inter,Behavior,Physical,u04,u36,0.11249999999999999
diag,Behavior,Physical,u05,u05,1.0
inter,Behavior,Physical,u05,u36,0.15
inter,Behavior,Physical,u05,u42,0.11249999999999999
diag,Behavior,Physical,u07,u07,1.0
inter,Behavior,Physical,u07,u42,0.0975
diag,Behavior,Physical,u08,u08,1.0
inter,Behavior,Physical,u08,u20,0.16249999999999998
inter,Behavior,Physical,u08,u36,0.121875
diag,Behavior,Physical,u09,u09,1.0
inter,Behavior,Physical,u09,u18,0.17410714285714282
inter,Behavior,Physical,u09,u20,0.12999999999999998
diag,Behavior,Physical,u10,u10,1.0
inter,Behavior,Physical,u10,u12,0.15511363636363634
inter,Behavior,Physical,u10,u16,0.15669642857142857
inter,Behavior,Physical,u10,u25,0.16810344827586204
inter,Behavior,Physical,u10,u32,0.156
inter,Behavior,Physical,u10,u42,0.11249999999999999
inter,Behavior,Physical,u10,u47,0.18958333333333333
diag,Behavior,Physical,u12,u12,1.0
inter,Behavior,Physical,u12,u42,0.11249999999999999
diag,Behavior,Physical,u13,u13,1.0
inter,Behavior,Physical,u13,u14,0.16249999999999998
inter,Behavior,Physical,u13,u20,0.13928571428571426
inter,Behavior,Physical,u13,u25,0.16810344827586204
inter,Behavior,Physical,u13,u30,0.15669642857142857
inter,Behavior,Physical,u13,u42,0.1044642857142857
diag,Behavior,Physical,u14,u14,1.0
inter,Behavior,Physical,u14,u20,0.15
inter,Behavior,Physical,u14,u36,0.11249999999999999
inter,Behavior,Physical,u15,u01,0.19151785714285713
inter,Behavior,Physical,u15,u02,0.1986111111111111
inter,Behavior,Physical,u15,u04,0.20172413793103444
inter,Behavior,Physical,u15,u05,0.20625
inter,Behavior,Physical,u15,u07,0.1875
inter,Behavior,Physical,u15,u08,0.22499999999999998
inter,Behavior,Physical,u15,u09,0.20172413793103444
inter,Behavior,Physical,u15,u10,0.18491379310344824
inter,Behavior,Physical,u15,u12,0.19943181818181818
inter,Behavior,Physical,u15,u14,0.1986111111111111
diag,Behavior,Physical,u15,u15,1.0
inter,Behavior,Physical,u15,u16,0.19151785714285713
inter,Behavior,Physical,u15,u18,0.2263392857142857
inter,Behavior,Physical,u15,u19,0.2347222222222222
inter,Behavior,Physical,u15,u22,0.22499999999999998
inter,Behavior,Physical,u15,u24,0.21666666666666662
inter,Behavior,Physical,u15,u25,0.20172413793103444
inter,Behavior,Physical,u15,u27,0.20625
inter,Behavior,Physical,u15,u30,0.19151785714285713
inter,Behavior,Physical,u15,u32,0.195
inter,Behavior,Physical,u15,u33,0.2347222222222222
inter,Behavior,Physical,u15,u36,0.11607142857142855
inter,Behavior,Physical,u15,u43,0.21666666666666662
inter,Behavior,Physical,u15,u46,0.2089285714285714
inter,Behavior,Physical,u15,u49,0.22499999999999998
inter,Behavior,Physical,u15,u54,0.2263392857142857
inter,Behavior,Physical,u15,u57,0.21666666666666662
inter,Behavior,Physical,u15,u59,0.20172413793103444
diag,Behavior,Physical,u16,u16,1.0
inter,Behavior,Physical,u17,u01,0.17410714285714282
inter,Behavior,Physical,u17,u02,0.18055555555555552
inter,Behavior,Physical,u17,u04,0.18491379310344824
inter,Behavior,Physical,u17,u05,0.1875
inter,Behavior,Physical,u17,u08,0.20625
inter,Behavior,Physical,u17,u09,0.20172413793103444
inter,Behavior,Physical,u17,u12,0.17727272727272728
inter,Behavior,Physical,u17,u14,0.18055555555555552
inter,Behavior,Physical,u17,u15,0.18491379310344824
inter,Behavior,Physical,u17,u16,0.17410714285714282
diag,Behavior,Physical,u17,u17,1.0
inter,Behavior,Physical,u17,u18,0.2089285714285714
inter,Behavior,Physical,u17,u19,0.1986111111111111
inter,Behavior,Physical,u17,u20,0.17205882352941174
inter,Behavior,Physical,u17,u22,0.1875
inter,Behavior,Physical,u17,u24,0.1986111111111111
inter,Behavior,Physical,u17,u27,0.20625
inter,Behavior,Physical,u17,u30,0.17410714285714282
inter,Behavior,Physical,u17,u32,0.1755
inter,Behavior,Physical,u17,u33,0.21666666666666662
inter,Behavior,Physical,u17,u36,0.14338235294117646
inter,Behavior,Physical,u17,u43,0.1986111111111111
inter,Behavior,Physical,u17,u46,0.19151785714285713
inter,Behavior,Physical,u17,u47,0.21666666666666662
inter,Behavior,Physical,u17,u49,0.1875
inter,Behavior,Physical,u17,u54,0.19151785714285713
inter,Behavior,Physical,u17,u57,0.1986111111111111
inter,Behavior,Physical,u17,u59,0.18491379310344824
diag,Behavior,Physical,u18,u18,1.0
diag,Behavior,Physical,u19,u19,1.0
inter,Behavior,Physical,u20,u02,0.18055555555555552
inter,Behavior,Physical,u20,u04,0.18491379310344824
inter,Behavior,Physical,u20,u05,0.1875
inter,Behavior,Physical,u20,u07,0.16874999999999998
inter,Behavior,Physical,u20,u08,0.20625
inter,Behavior,Physical,u20,u09,0.18491379310344824
inter,Behavior,Physical,u20,u15,0.18491379310344824
inter,Behavior,Physical,u20,u19,0.18055555555555552
diag,Behavior,Physical,u20,u20,1.0
inter,Behavior,Physical,u20,u22,0.1875
inter,Behavior,Physical,u20,u24,0.16249999999999998
inter,Behavior,Physical,u20,u27,0.16874999999999998
inter,Behavior,Physical,u20,u30,0.15669642857142857
inter,Behavior,Physical,u20,u32,0.1755
inter,Behavior,Physical,u20,u33,0.1986111111111111
inter,Behavior,Physical,u20,u46,0.17410714285714282
inter,Behavior,Physical,u20,u47,0.18958333333333333
inter,Behavior,Physical,u20,u49,0.1875
inter,Behavior,Physical,u20,u54,0.19151785714285713
inter,Behavior,Physical,u20,u57,0.18055555555555552
inter,Behavior,Physical,u20,u59,0.16810344827586204
diag,Behavior,Physical,u22,u22,1.0
inter,Behavior,Physical,u22,u42,0.10833333333333331
diag,Behavior,Physical,u23,u23,1.0
inter,Behavior,Physical,u24,u01,0.2089285714285714
inter,Behavior,Physical,u24,u02,0.1986111111111111
inter,Behavior,Physical,u24,u04,0.20172413793103444
inter,Behavior,Physical,u24,u05,0.20625
