type,src_layer,dst_layer,u,v,weight
intra,phy,phy,u27,u25,0.3272727272727272
intra,phy,phy,u27,u43,0.0363636363636363
intra,phy,phy,u27,u04,0.3090909090909091
intra,phy,phy,u27,u15,0.1454545454545454
intra,phy,phy,u27,u16,0.0909090909090909
intra,phy,phy,u27,u19,0.2
intra,phy,phy,u27,u54,0.1636363636363636
intra,phy,phy,u27,u30,0.2545454545454545
intra,phy,phy,u27,u01,0.1272727272727272
intra,phy,phy,u27,u02,0.2727272727272727
intra,phy,phy,u27,u05,0.109090909090909
intra,phy,phy,u27,u07,0.109090909090909
intra,phy,phy,u27,u08,0.109090909090909
intra,phy,phy,u27,u09,0.3818181818181818
intra,phy,phy,u27,u10,0.2545454545454545
intra,phy,phy,u27,u14,0.0909090909090909
intra,phy,phy,u27,u18,0.2181818181818181
intra,phy,phy,u27,u22,0.0545454545454545
intra,phy,phy,u27,u24,0.4
intra,phy,phy,u27,u32,0.0363636363636363
intra,phy,phy,u27,u33,0.1454545454545454
intra,phy,phy,u27,u46,0.4727272727272727
intra,phy,phy,u27,u47,0.0181818181818181
intra,phy,phy,u27,u49,0.0545454545454545
intra,phy,phy,u27,u57,0.2909090909090909
intra,phy,phy,u27,u59,0.1818181818181818
intra,phy,phy,u57,u25,0.1636363636363636
intra,phy,phy,u57,u43,0.3090909090909091
intra,phy,phy,u57,u04,0.6181818181818182
intra,phy,phy,u57,u15,0.3454545454545454
intra,phy,phy,u57,u16,0.7636363636363637
intra,phy,phy,u57,u19,0.2181818181818181
intra,phy,phy,u57,u54,0.1636363636363636
intra,phy,phy,u57,u30,0.4545454545454545
intra,phy,phy,u57,u12,0.0
intra,phy,phy,u57,u01,0.1272727272727272
intra,phy,phy,u57,u02,0.8909090909090909
intra,phy,phy,u57,u05,0.2545454545454545
intra,phy,phy,u57,u07,0.6545454545454545
intra,phy,phy,u57,u08,0.0545454545454545
intra,phy,phy,u57,u09,0.6727272727272727
intra,phy,phy,u57,u10,0.2727272727272727
intra,phy,phy,u57,u14,0.0181818181818181
intra,phy,phy,u57,u18,0.1818181818181818
intra,phy,phy,u57,u22,0.3818181818181818
intra,phy,phy,u57,u24,0.2545454545454545
intra,phy,phy,u57,u32,0.1818181818181818
intra,phy,phy,u57,u33,0.1454545454545454
intra,phy,phy,u57,u46,0.2727272727272727
intra,phy,phy,u57,u47,0.0
intra,phy,phy,u57,u49,0.2
intra,phy,phy,u57,u59,0.3636363636363636
intra,phy,phy,u33,u25,0.3454545454545454
intra,phy,phy,u33,u42,0.0
intra,phy,phy,u33,u04,0.2363636363636363
intra,phy,phy,u33,u15,0.0545454545454545
intra,phy,phy,u33,u16,0.0909090909090909
intra,phy,phy,u33,u19,0.0545454545454545
intra,phy,phy,u33,u54,0.0
intra,phy,phy,u33,u30,0.3636363636363636
intra,phy,phy,u33,u12,0.0
intra,phy,phy,u33,u01,0.0909090909090909
intra,phy,phy,u33,u02,0.2181818181818181
intra,phy,phy,u33,u05,0.0545454545454545
intra,phy,phy,u33,u07,0.4
intra,phy,phy,u33,u08,0.0909090909090909
intra,phy,phy,u33,u09,0.0545454545454545
intra,phy,phy,u33,u10,0.4181818181818181
intra,phy,phy,u33,u14,0.0727272727272727
intra,phy,phy,u33,u18,0.0
intra,phy,phy,u33,u22,0.0181818181818181
intra,phy,phy,u33,u24,0.0545454545454545
intra,phy,phy,u33,u32,0.0181818181818181
intra,phy,phy,u33,u46,0.2181818181818181
intra,phy,phy,u33,u47,0.0
intra,phy,phy,u33,u49,0.2181818181818181
intra,phy,phy,u33,u59,0.0545454545454545
intra,phy,phy,u05,u25,0.109090909090909
intra,phy,phy,u05,u43,0.0909090909090909
intra,phy,phy,u05,u04,0.5818181818181818
intra,phy,phy,u05,u15,0.2181818181818181
intra,phy,phy,u05,u16,0.2181818181818181
intra,phy,phy,u05,u19,0.3454545454545454
intra,phy,phy,u05,u54,0.2363636363636363
intra,phy,phy,u05,u30,0.6363636363636364
intra,phy,phy,u05,u12,0.0181818181818181
intra,phy,phy,u05,u01,0.109090909090909
intra,phy,phy,u05,u02,0.2363636363636363
intra,phy,phy,u05,u07,0.1454545454545454
intra,phy,phy,u05,u08,0.2181818181818181
intra,phy,phy,u05,u09,0.1818181818181818
intra,phy,phy,u05,u10,0.0727272727272727
intra,phy,phy,u05,u14,0.2545454545454545
intra,phy,phy,u05,u18,0.0181818181818181
intra,phy,phy,u05,u22,0.0363636363636363
intra,phy,phy,u05,u24,0.1454545454545454
intra,phy,phy,u05,u32,0.2545454545454545
intra,phy,phy,u05,u46,0.2363636363636363
intra,phy,phy,u05,u49,0.109090909090909
intra,phy,phy,u05,u59,0.1454545454545454
intra,phy,phy,u09,u25,0.2909090909090909
intra,phy,phy,u09,u43,0.3272727272727272
intra,phy,phy,u09,u42,0.0
intra,phy,phy,u09,u04,0.509090909090909
intra,phy,phy,u09,u36,0.0
intra,phy,phy,u09,u15,0.3272727272727272
intra,phy,phy,u09,u16,0.7636363636363637
intra,phy,phy,u09,u19,0.6
intra,phy,phy,u09,u54,0.1636363636363636
intra,phy,phy,u09,u30,0.6363636363636364
intra,phy,phy,u09,u12,0.0545454545454545
intra,phy,phy,u09,u14,0.2363636363636363
intra,phy,phy,u09,u01,0.1636363636363636
intra,phy,phy,u09,u18,0.2727272727272727
intra,phy,phy,u09,u02,0.4
intra,phy,phy,u09,u07,0.2363636363636363
intra,phy,phy,u09,u08,0.1636363636363636
intra,phy,phy,u09,u10,0.109090909090909
intra,phy,phy,u09,u22,0.1818181818181818
intra,phy,phy,u09,u24,0.4909090909090909
intra,phy,phy,u09,u32,0.1454545454545454
intra,phy,phy,u09,u46,0.2545454545454545
intra,phy,phy,u09,u47,0.0181818181818181
intra,phy,phy,u09,u49,0.0363636363636363
intra,phy,phy,u09,u59,0.3818181818181818
intra,phy,phy,u46,u25,0.2
intra,phy,phy,u46,u43,0.1818181818181818
intra,phy,phy,u46,u04,0.4909090909090909
intra,phy,phy,u46,u36,0.0
intra,phy,phy,u46,u15,0.3454545454545454
intra,phy,phy,u46,u16,0.1272727272727272
intra,phy,phy,u46,u19,0.0727272727272727
intra,phy,phy,u46,u54,0.1636363636363636
intra,phy,phy,u46,u30,0.3090909090909091
intra,phy,phy,u46,u12,0.0181818181818181
intra,phy,phy,u46,u14,0.1818181818181818
intra,phy,phy,u46,u01,0.1454545454545454
intra,phy,phy,u46,u18,0.0363636363636363
intra,phy,phy,u46,u02,0.5272727272727272
intra,phy,phy,u46,u59,0.3272727272727272
intra,phy,phy,u46,u10,0.2181818181818181
intra,phy,phy,u46,u07,0.2181818181818181
intra,phy,phy,u46,u08,0.2181818181818181
intra,phy,phy,u46,u22,0.1818181818181818
intra,phy,phy,u46,u24,0.2
intra,phy,phy,u46,u32,0.1454545454545454
intra,phy,phy,u46,u47,0.0
intra,phy,phy,u46,u49,0.3272727272727272
intra,phy,phy,u24,u25,0.1818181818181818
intra,phy,phy,u24,u43,0.3090909090909091
intra,phy,phy,u24,u04,0.3272727272727272
intra,phy,phy,u24,u15,0.3818181818181818
intra,phy,phy,u24,u16,0.2545454545454545
intra,phy,phy,u24,u19,0.109090909090909
intra,phy,phy,u24,u54,0.1636363636363636
intra,phy,phy,u24,u30,0.3454545454545454
intra,phy,phy,u24,u12,0.0
intra,phy,phy,u24,u14,0.0545454545454545
intra,phy,phy,u24,u01,0.1454545454545454
intra,phy,phy,u24,u18,0.1818181818181818
intra,phy,phy,u24,u02,0.2909090909090909
intra,phy,phy,u24,u59,0.2181818181818181
intra,phy,phy,u24,u10,0.0727272727272727
intra,phy,phy,u24,u07,0.1818181818181818
intra,phy,phy,u24,u08,0.0545454545454545
intra,phy,phy,u24,u22,0.2727272727272727
intra,phy,phy,u24,u32,0.0909090909090909
intra,phy,phy,u24,u47,0.0
intra,phy,phy,u24,u49,0.0181818181818181
intra,phy,phy,u08,u25,0.0727272727272727
intra,phy,phy,u08,u43,0.0181818181818181
intra,phy,phy,u08,u42,0.0
intra,phy,phy,u08,u04,0.2363636363636363
intra,phy,phy,u08,u15,0.1818181818181818
intra,phy,phy,u08,u16,0.0909090909090909
intra,phy,phy,u08,u19,0.1454545454545454
intra,phy,phy,u08,u54,0.2
intra,phy,phy,u08,u30,0.1636363636363636
intra,phy,phy,u08,u14,0.1454545454545454
intra,phy,phy,u08,u01,0.0727272727272727
intra,phy,phy,u08,u18,0.109090909090909
intra,phy,phy,u08,u02,0.109090909090909
intra,phy,phy,u08,u59,0.1272727272727272
intra,phy,phy,u08,u10,0.1636363636363636
intra,phy,phy,u08,u07,0.0545454545454545
intra,phy,phy,u08,u22,0.0545454545454545
intra,phy,phy,u08,u32,0.0545454545454545
intra,phy,phy,u08,u49,0.0363636363636363
intra,phy,phy,u20,u25,0.0
intra,phy,phy,u20,u43,0.0
intra,phy,phy,u20,u15,0.0
intra,phy,phy,u20,u54,0.0
intra,phy,phy,u20,u30,0.0
intra,phy,phy,u20,u02,0.0181818181818181
intra,phy,phy,u20,u59,0.0
intra,phy,phy,u20,u10,0.0
intra,phy,phy,u20,u47,0.0
intra,phy,phy,u20,u07,0.0
intra,phy,phy,u22,u25,0.0727272727272727
intra,phy,phy,u22,u43,0.4
intra,phy,phy,u22,u04,0.3090909090909091
intra,phy,phy,u22,u15,0.4
intra,phy,phy,u22,u16,0.2363636363636363
intra,phy,phy,u22,u19,0.0181818181818181
intra,phy,phy,u22,u54,0.1272727272727272
intra,phy,phy,u22,u30,0.1818181818181818
intra,phy,phy,u22,u12,0.0727272727272727
intra,phy,phy,u22,u14,0.0181818181818181
intra,phy,phy,u22,u01,0.0909090909090909
intra,phy,phy,u22,u18,0.0545454545454545
intra,phy,phy,u22,u02,0.3272727272727272
intra,phy,phy,u22,u59,0.3454545454545454
intra,phy,phy,u22,u10,0.109090909090909
intra,phy,phy,u22,u32,0.0545454545454545
intra,phy,phy,u22,u07,0.2727272727272727
intra,phy,phy,u22,u49,0.2
intra,phy,phy,u07,u25,0.3090909090909091
intra,phy,phy,u07,u43,0.2181818181818181
intra,phy,phy,u07,u04,0.2363636363636363
intra,phy,phy,u07,u15,0.2363636363636363
intra,phy,phy,u07,u16,0.2
intra,phy,phy,u07,u19,0.0545454545454545
intra,phy,phy,u07,u54,0.1454545454545454
intra,phy,phy,u07,u30,0.5454545454545454
intra,phy,phy,u07,u14,0.1454545454545454
intra,phy,phy,u07,u01,0.2181818181818181
intra,phy,phy,u07,u18,0.109090909090909
intra,phy,phy,u07,u02,0.2545454545454545
intra,phy,phy,u07,u59,0.2545454545454545
intra,phy,phy,u07,u10,0.2909090909090909
intra,phy,phy,u07,u32,0.0909090909090909
intra,phy,phy,u07,u49,0.0363636363636363
intra,phy,phy,u42,u04,0.0
intra,phy,phy,u42,u15,0.0
intra,phy,phy,u42,u18,0.0
intra,phy,phy,u42,u19,0.0
intra,phy,phy,u42,u54,0.0
intra,phy,phy,u04,u25,0.2909090909090909
intra,phy,phy,u04,u43,0.2181818181818181
intra,phy,phy,u04,u01,0.3090909090909091
intra,phy,phy,u04,u02,0.8363636363636363
intra,phy,phy,u04,u10,0.3454545454545454
intra,phy,phy,u04,u12,0.0181818181818181
intra,phy,phy,u04,u14,0.109090909090909
