uid,physical_degree_centrality,physical_clustering_coef,physical_betweenness,physical_closeness,physical_pagerank,physical_weighted_degree,physical_degree,behavioral_degree_centrality,behavioral_clustering_coef,behavioral_betweenness,behavioral_closeness,behavioral_pagerank,behavioral_weighted_degree,behavioral_degree,educational_degree_centrality,educational_clustering_coef,educational_betweenness,educational_closeness,educational_pagerank,educational_weighted_degree,educational_degree,cross_layer_activity,degree_variance,degree_std,degree_mean,physical_educational_consistency,phys_edu_neighbor_overlap,phys_beh_neighbor_overlap,total_unique_neighbors,call_count,call_duration,sms_count,app_usage_hours,calendar_events,physical_activity,ema_mood_mean,ema_mood_std,ema_response_count,ema_stress_mean,ema_stress_std,physical_neighbor_avg_ema_mood,physical_neighbor_avg_ema_stress,physical_neighbor_count,behavioral_neighbor_avg_ema_mood,behavioral_neighbor_avg_ema_stress,behavioral_neighbor_count,educational_neighbor_avg_ema_mood,educational_neighbor_avg_ema_stress,educational_neighbor_count
u00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22222222222222224,0.6666666666666666,0.0,1.7839314828695254,0.022466005978890737,4.894356994849145,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.22222222222222224,0.10475656017578483,0.07407407407407408,0.0,0.0,0.0,10,2203,989.4,1864,0.0,0,0.0,1.5,0.6708203932499369,10,2.2972972972972974,1.3020745373455032,0.0,0.0,0,1.444277108433735,1.8690691457471953,10,0.0,0.0,0
u01,0.9333333333333333,0.9074074074074074,0.22278946241030886,412.5000000000018,0.027037943270341848,3.872727272727272,28,0.22222222222222224,0.9111111111111111,0.00101010101010101,1.479856131983573,0.017678018627572973,5.2590715273728295,10,0.022727272727272728,0.0,0.0,0.3384615384615385,0.007777282261803984,1.0,1,1,0.9106060606060606,0.3908225861823239,0.3927609427609428,0.021212121212121213,0.03571428571428571,0.1875,32,1487,0.0,1487,0.0,0,0.0,2.0,0.0,2,2.25,1.4142135623730951,1.4109087912273341,2.300659729176805,28,0.9480952380952381,2.443452537495905,10,1.5714285714285714,2.896551724137931,1
u02,0.9,0.9344729344729344,0.0,412.5000000000018,0.055255614497678796,8.127272727272727,27,0.24444444444444446,0.5272727272727272,0.007070707070707071,2.458004474983524,0.018579901637926347,3.4834225865290613,11,0.9545454545454546,1.0,0.0027808457497536113,0.88,0.02196491661350872,45.0,42,2,0.7101010101010101,0.3226576681902626,0.6996632996632997,0.8590909090909091,0.5681818181818182,0.1875,45,1669,297.53333333333336,3907,0.0,0,0.0,1.0,0.0,1,2.066666666666667,1.3148721948877347,1.3427943020135318,2.3321486867219514,27,1.1766155531215772,1.947923446569308,11,1.275436459724452,2.230298669293122,42
u03,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22222222222222224,0.7333333333333333,0.0,1.3143166350596909,0.022145335012988217,6.43408146524737,10,0.9545454545454546,1.0,0.003191009604684908,0.9361702127659575,0.020724836163744112,42.0,42,1,0.9545454545454546,0.4078176413604381,0.3922558922558923,0.0,0.0,0.0,42,1269,0.0,1269,0.0,0,0.0,1.0,0.0,1,2.9310344827586206,1.700528000819028,0.0,0.0,0,0.9130952380952382,2.232768416802025,10,1.275436459724452,2.2097184831956946,42
u04,0.9666666666666667,0.8620689655172413,0.012370631426576299,412.5000000000018,0.062523157905691,9.854545454545455,29,0.2888888888888889,0.6282051282051282,0.0030303030303030303,1.3402884842871774,0.026320528440595826,7.887538272327794,13,0.9545454545454546,1.0,0.003191009604684908,0.9361702127659575,0.020724836163744112,42.0,42,2,0.6777777777777778,0.3166891752060798,0.7367003367003367,0.9227272727272727,0.5777777777777777,0.23529411764705882,46,1445,0.0,1445,0.0,0,0.0,1.75,0.4330127018922193,4,1.8604651162790697,0.9296509809910086,1.4484636604953571,2.3465305727936663,29,1.0974358974358975,2.474761039806583,13,1.257579316867309,2.2352082300166365,42
u05,0.8666666666666667,0.9846153846153847,0.0,50.00000000000026,0.03371214402435982,5.036363636363634,26,0.2888888888888889,0.8076923076923077,0.0,1.3908860643068641,0.02513034429201886,7.924022684676349,13,0.9545454545454546,1.0,0.0018946251810388903,0.8,0.02399333156336969,50.0,42,2,0.6656565656565656,0.2952679583878131,0.7033670033670033,0.8272727272727274,0.5454545454545454,0.18181818181818182,44,1455,0.0,1455,0.0,0,0.0,0.0,0.0,0,3.375,1.4086784586980805,1.4329017751678985,2.3061415849292057,26,1.1062271062271063,2.3387740785554487,13,1.2992459835339758,2.1991478756423284,42
u07,0.8666666666666667,0.9446153846153846,0.0,412.5000000000018,0.03698222870706507,5.618181818181818,26,0.22222222222222224,0.7555555555555555,0.00101010101010101,1.7661016738151103,0.015708654554137374,4.24225952035975,10,0.9545454545454546,1.0,0.002613937994106566,0.8148148148148148,0.023623660892877978,49.0,42,2,0.7323232323232324,0.3264844117317941,0.6811447811447812,0.8272727272727274,0.5454545454545454,0.2413793103448276,44,1217,0.0,1217,0.0,0,0.0,1.0,0.0,1,3.2452830188679247,1.4394136696423134,1.3559786982448214,2.2906178790753113,26,0.9480952380952381,2.17029599936142,10,1.275436459724452,2.2022363751930922,42
u08,0.8666666666666667,0.9415384615384615,0.0,412.5000000000018,0.021866696291812295,2.9454545454545435,26,0.26666666666666666,0.5757575757575758,0.00202020202020202,2.485218281748267,0.02142605511952879,4.08483625344539,12,0.9545454545454546,1.0,0.0026169150320907108,0.8627450980392157,0.02237244641848317,46.0,42,2,0.687878787878788,0.3056686492434133,0.695959595959596,0.8272727272727274,0.5454545454545454,0.22580645161290322,46,1936,469.05,4145,0.0,0,0.0,1.0,0.0,9,1.8,0.8459051693633014,1.442517159783283,2.4054895071219558,26,1.480116544609812,2.296673635185869,12,1.275436459724452,2.2366478756423285,42
u09,0.9666666666666667,0.8620689655172413,0.01319254238729816,412.5000000000018,0.05117431638293896,8.054545454545455,29,0.33333333333333337,0.6761904761904762,0.0,1.4769722574060145,0.028351891146592187,8.709242872213373,15,0.9545454545454546,1.0,0.003191009604684908,0.9361702127659575,0.020724836163744112,42.0,42,3,0.6333333333333333,0.2957406022617459,0.7515151515151516,0.9227272727272727,0.5777777777777777,0.29411764705882354,45,1565,0.0,1565,0.0,0,0.0,0.0,0.0,0,3.0,1.4142135623730951,1.5088084880815644,2.3072362664584616,29,1.292063492063492,2.3613522290684106,15,1.299245983533976,2.2080764470709,42
u10,0.9666666666666667,0.8669950738916257,0.018764173419379464,412.5000000000018,0.0339387960264039,4.7818181818181795,29,0.2888888888888889,0.5128205128205128,0.00202020202020202,1.9978305232921136,0.02359189707132226,5.742204326658644,13,0.9545454545454546,1.0,0.0018946251810388903,0.8,0.02399333156336969,50.0,42,2,0.6777777777777778,0.3166891752060798,0.7367003367003367,0.9227272727272727,0.5777777777777777,0.3125,45,1662,0.0,1662,0.0,0,0.0,1.3333333333333333,0.4714045207910317,9,2.3962264150943398,1.4580889876499363,1.3852452696907596,2.2749050345467667,29,1.3098511693834163,2.221583292395124,13,1.267499951787944,2.2224520086162727,42
