type,src_layer,dst_layer,u,v,weight
intra,phy,phy,u01,u02,0.2545454545454545
intra,phy,phy,u01,u04,0.3090909090909091
intra,phy,phy,u01,u05,0.10909090909090909
intra,phy,phy,u01,u07,0.21818181818181817
intra,phy,phy,u01,u08,0.07272727272727272
intra,phy,phy,u01,u09,0.16363636363636364
intra,phy,phy,u01,u10,0.18181818181818182
intra,phy,phy,u01,u14,0.03636363636363636
intra,phy,phy,u01,u15,0.23636363636363636
intra,phy,phy,u01,u16,0.05454545454545454
intra,phy,phy,u01,u18,0.14545454545454545
intra,phy,phy,u01,u19,0.05454545454545454
intra,phy,phy,u01,u22,0.09090909090909091
intra,phy,phy,u01,u24,0.14545454545454545
intra,phy,phy,u01,u25,0.3090909090909091
intra,phy,phy,u01,u27,0.12727272727272726
intra,phy,phy,u01,u30,0.32727272727272727
intra,phy,phy,u01,u33,0.09090909090909091
intra,phy,phy,u01,u43,0.10909090909090909
intra,phy,phy,u01,u46,0.14545454545454545
intra,phy,phy,u01,u49,0.18181818181818182
intra,phy,phy,u01,u54,0.14545454545454545
intra,phy,phy,u01,u57,0.12727272727272726
intra,phy,phy,u01,u59,0.23636363636363636
intra,phy,phy,u02,u01,0.2545454545454545
intra,phy,phy,u02,u04,0.8363636363636363
intra,phy,phy,u02,u05,0.23636363636363636
intra,phy,phy,u02,u07,0.2545454545454545
intra,phy,phy,u02,u08,0.10909090909090909
intra,phy,phy,u02,u09,0.4
intra,phy,phy,u02,u10,0.18181818181818182
intra,phy,phy,u02,u14,0.18181818181818182
intra,phy,phy,u02,u15,0.2727272727272727
intra,phy,phy,u02,u16,0.5818181818181818
intra,phy,phy,u02,u18,0.2
intra,phy,phy,u02,u19,0.2727272727272727
intra,phy,phy,u02,u20,0.01818181818181818
intra,phy,phy,u02,u22,0.32727272727272727
intra,phy,phy,u02,u24,0.2909090909090909
intra,phy,phy,u02,u25,0.09090909090909091
intra,phy,phy,u02,u27,0.2727272727272727
intra,phy,phy,u02,u30,0.41818181818181815
intra,phy,phy,u02,u32,0.2545454545454545
intra,phy,phy,u02,u33,0.21818181818181817
intra,phy,phy,u02,u43,0.2545454545454545
intra,phy,phy,u02,u46,0.5272727272727272
intra,phy,phy,u02,u49,0.10909090909090909
intra,phy,phy,u02,u54,0.2545454545454545
intra,phy,phy,u02,u57,0.8909090909090909
intra,phy,phy,u02,u59,0.41818181818181815
intra,phy,phy,u04,u01,0.3090909090909091
intra,phy,phy,u04,u02,0.8363636363636363
intra,phy,phy,u04,u05,0.5818181818181818
intra,phy,phy,u04,u07,0.23636363636363636
intra,phy,phy,u04,u08,0.23636363636363636
intra,phy,phy,u04,u09,0.509090909090909
intra,phy,phy,u04,u10,0.34545454545454546
intra,phy,phy,u04,u12,0.01818181818181818
intra,phy,phy,u04,u14,0.10909090909090909
intra,phy,phy,u04,u15,0.5454545454545454
intra,phy,phy,u04,u16,0.7090909090909091
intra,phy,phy,u04,u18,0.18181818181818182
intra,phy,phy,u04,u19,0.4727272727272727
intra,phy,phy,u04,u22,0.3090909090909091
intra,phy,phy,u04,u24,0.32727272727272727
intra,phy,phy,u04,u25,0.2909090909090909
intra,phy,phy,u04,u27,0.3090909090909091
intra,phy,phy,u04,u30,1.0
intra,phy,phy,u04,u32,0.18181818181818182
intra,phy,phy,u04,u33,0.23636363636363636
intra,phy,phy,u04,u43,0.21818181818181817
intra,phy,phy,u04,u46,0.4909090909090909
intra,phy,phy,u04,u47,0.10909090909090909
intra,phy,phy,u04,u49,0.14545454545454545
intra,phy,phy,u04,u54,0.23636363636363636
intra,phy,phy,u04,u57,0.6181818181818182
intra,phy,phy,u04,u59,0.2909090909090909
intra,phy,phy,u05,u01,0.10909090909090909
intra,phy,phy,u05,u02,0.23636363636363636
intra,phy,phy,u05,u04,0.5818181818181818
intra,phy,phy,u05,u07,0.14545454545454545
intra,phy,phy,u05,u08,0.21818181818181817
intra,phy,phy,u05,u09,0.18181818181818182
intra,phy,phy,u05,u10,0.07272727272727272
intra,phy,phy,u05,u12,0.01818181818181818
intra,phy,phy,u05,u14,0.2545454545454545
intra,phy,phy,u05,u15,0.21818181818181817
intra,phy,phy,u05,u16,0.21818181818181817
intra,phy,phy,u05,u18,0.01818181818181818
intra,phy,phy,u05,u19,0.34545454545454546
intra,phy,phy,u05,u22,0.03636363636363636
intra,phy,phy,u05,u24,0.14545454545454545
intra,phy,phy,u05,u25,0.10909090909090909
intra,phy,phy,u05,u27,0.10909090909090909
intra,phy,phy,u05,u30,0.6363636363636364
intra,phy,phy,u05,u32,0.2545454545454545
intra,phy,phy,u05,u33,0.05454545454545454
intra,phy,phy,u05,u43,0.09090909090909091
intra,phy,phy,u05,u46,0.23636363636363636
intra,phy,phy,u05,u49,0.10909090909090909
intra,phy,phy,u05,u54,0.23636363636363636
intra,phy,phy,u05,u57,0.2545454545454545
intra,phy,phy,u05,u59,0.14545454545454545
intra,phy,phy,u07,u01,0.21818181818181817
intra,phy,phy,u07,u02,0.2545454545454545
intra,phy,phy,u07,u04,0.23636363636363636
intra,phy,phy,u07,u05,0.14545454545454545
intra,phy,phy,u07,u08,0.05454545454545454
