layer,source,target,weight
phy,phy:u01,phy:u02,0.2545454545454545
phy,phy:u01,phy:u04,0.3090909090909091
phy,phy:u01,phy:u05,0.10909090909090909
phy,phy:u01,phy:u07,0.21818181818181817
phy,phy:u01,phy:u08,0.07272727272727272
phy,phy:u01,phy:u09,0.16363636363636364
phy,phy:u01,phy:u10,0.18181818181818182
phy,phy:u01,phy:u14,0.03636363636363636
phy,phy:u01,phy:u15,0.23636363636363636
phy,phy:u01,phy:u16,0.05454545454545454
phy,phy:u01,phy:u18,0.14545454545454545
phy,phy:u01,phy:u19,0.05454545454545454
phy,phy:u01,phy:u22,0.09090909090909091
phy,phy:u01,phy:u24,0.14545454545454545
phy,phy:u01,phy:u25,0.3090909090909091
phy,phy:u01,phy:u27,0.12727272727272726
phy,phy:u01,phy:u30,0.32727272727272727
phy,phy:u01,phy:u33,0.09090909090909091
phy,phy:u01,phy:u43,0.10909090909090909
phy,phy:u01,phy:u46,0.14545454545454545
phy,phy:u01,phy:u49,0.18181818181818182
phy,phy:u01,phy:u54,0.14545454545454545
phy,phy:u01,phy:u57,0.12727272727272726
phy,phy:u01,phy:u59,0.23636363636363636
phy,phy:u02,phy:u01,0.2545454545454545
phy,phy:u02,phy:u04,0.8363636363636363
phy,phy:u02,phy:u05,0.23636363636363636
phy,phy:u02,phy:u07,0.2545454545454545
phy,phy:u02,phy:u08,0.10909090909090909
phy,phy:u02,phy:u09,0.4
phy,phy:u02,phy:u10,0.18181818181818182
phy,phy:u02,phy:u14,0.18181818181818182
phy,phy:u02,phy:u15,0.2727272727272727
phy,phy:u02,phy:u16,0.5818181818181818
phy,phy:u02,phy:u18,0.2
phy,phy:u02,phy:u19,0.2727272727272727
phy,phy:u02,phy:u20,0.01818181818181818
phy,phy:u02,phy:u22,0.32727272727272727
phy,phy:u02,phy:u24,0.2909090909090909
phy,phy:u02,phy:u25,0.09090909090909091
phy,phy:u02,phy:u27,0.2727272727272727
phy,phy:u02,phy:u30,0.41818181818181815
phy,phy:u02,phy:u32,0.2545454545454545
phy,phy:u02,phy:u33,0.21818181818181817
phy,phy:u02,phy:u43,0.2545454545454545
phy,phy:u02,phy:u46,0.5272727272727272
phy,phy:u02,phy:u49,0.10909090909090909
phy,phy:u02,phy:u54,0.2545454545454545
phy,phy:u02,phy:u57,0.8909090909090909
phy,phy:u02,phy:u59,0.41818181818181815
phy,phy:u04,phy:u01,0.3090909090909091
phy,phy:u04,phy:u02,0.8363636363636363
phy,phy:u04,phy:u05,0.5818181818181818
phy,phy:u04,phy:u07,0.23636363636363636
phy,phy:u04,phy:u08,0.23636363636363636
phy,phy:u04,phy:u09,0.509090909090909
phy,phy:u04,phy:u10,0.34545454545454546
phy,phy:u04,phy:u12,0.01818181818181818
phy,phy:u04,phy:u14,0.10909090909090909
phy,phy:u04,phy:u15,0.5454545454545454
phy,phy:u04,phy:u16,0.7090909090909091
phy,phy:u04,phy:u18,0.18181818181818182
phy,phy:u04,phy:u19,0.4727272727272727
phy,phy:u04,phy:u22,0.3090909090909091
phy,phy:u04,phy:u24,0.32727272727272727
phy,phy:u04,phy:u25,0.2909090909090909
phy,phy:u04,phy:u27,0.3090909090909091
phy,phy:u04,phy:u30,1.0
phy,phy:u04,phy:u32,0.18181818181818182
phy,phy:u04,phy:u33,0.23636363636363636
phy,phy:u04,phy:u43,0.21818181818181817
phy,phy:u04,phy:u46,0.4909090909090909
phy,phy:u04,phy:u47,0.10909090909090909
phy,phy:u04,phy:u49,0.14545454545454545
phy,phy:u04,phy:u54,0.23636363636363636
phy,phy:u04,phy:u57,0.6181818181818182
phy,phy:u04,phy:u59,0.2909090909090909
phy,phy:u05,phy:u01,0.10909090909090909
phy,phy:u05,phy:u02,0.23636363636363636
phy,phy:u05,phy:u04,0.5818181818181818
phy,phy:u05,phy:u07,0.14545454545454545
phy,phy:u05,phy:u08,0.21818181818181817
phy,phy:u05,phy:u09,0.18181818181818182
phy,phy:u05,phy:u10,0.07272727272727272
phy,phy:u05,phy:u12,0.01818181818181818
phy,phy:u05,phy:u14,0.2545454545454545
phy,phy:u05,phy:u15,0.21818181818181817
phy,phy:u05,phy:u16,0.21818181818181817
phy,phy:u05,phy:u18,0.01818181818181818
phy,phy:u05,phy:u19,0.34545454545454546
phy,phy:u05,phy:u22,0.03636363636363636
phy,phy:u05,phy:u24,0.14545454545454545
phy,phy:u05,phy:u25,0.10909090909090909
phy,phy:u05,phy:u27,0.10909090909090909
phy,phy:u05,phy:u30,0.6363636363636364
phy,phy:u05,phy:u32,0.2545454545454545
phy,phy:u05,phy:u33,0.05454545454545454
phy,phy:u05,phy:u43,0.09090909090909091
phy,phy:u05,phy:u46,0.23636363636363636
phy,phy:u05,phy:u49,0.10909090909090909
phy,phy:u05,phy:u54,0.23636363636363636
phy,phy:u05,phy:u57,0.2545454545454545
phy,phy:u05,phy:u59,0.14545454545454545
phy,phy:u07,phy:u01,0.21818181818181817
phy,phy:u07,phy:u02,0.2545454545454545
phy,phy:u07,phy:u04,0.23636363636363636
phy,phy:u07,phy:u05,0.14545454545454545
phy,phy:u07,phy:u08,0.05454545454545454
phy,phy:u07,phy:u09,0.23636363636363636
phy,phy:u07,phy:u10,0.2909090909090909
phy,phy:u07,phy:u14,0.14545454545454545
phy,phy:u07,phy:u15,0.23636363636363636
phy,phy:u07,phy:u16,0.2
phy,phy:u07,phy:u18,0.10909090909090909
phy,phy:u07,phy:u19,0.05454545454545454
phy,phy:u07,phy:u22,0.2727272727272727
phy,phy:u07,phy:u24,0.18181818181818182
phy,phy:u07,phy:u25,0.3090909090909091
phy,phy:u07,phy:u27,0.10909090909090909
phy,phy:u07,phy:u30,0.5454545454545454
phy,phy:u07,phy:u32,0.09090909090909091
phy,phy:u07,phy:u33,0.4
phy,phy:u07,phy:u43,0.21818181818181817
phy,phy:u07,phy:u46,0.21818181818181817
phy,phy:u07,phy:u49,0.03636363636363636
phy,phy:u07,phy:u54,0.14545454545454545
phy,phy:u07,phy:u57,0.6545454545454545
phy,phy:u07,phy:u59,0.2545454545454545
phy,phy:u08,phy:u01,0.07272727272727272
phy,phy:u08,phy:u02,0.10909090909090909
phy,phy:u08,phy:u04,0.23636363636363636
phy,phy:u08,phy:u05,0.21818181818181817
phy,phy:u08,phy:u07,0.05454545454545454
phy,phy:u08,phy:u09,0.16363636363636364
phy,phy:u08,phy:u10,0.16363636363636364
phy,phy:u08,phy:u14,0.14545454545454545
phy,phy:u08,phy:u15,0.18181818181818182
phy,phy:u08,phy:u16,0.09090909090909091
phy,phy:u08,phy:u18,0.10909090909090909
phy,phy:u08,phy:u19,0.14545454545454545
phy,phy:u08,phy:u22,0.05454545454545454
phy,phy:u08,phy:u24,0.05454545454545454
phy,phy:u08,phy:u25,0.07272727272727272
phy,phy:u08,phy:u27,0.10909090909090909
phy,phy:u08,phy:u30,0.16363636363636364
phy,phy:u08,phy:u32,0.05454545454545454
phy,phy:u08,phy:u33,0.09090909090909091
phy,phy:u08,phy:u43,0.01818181818181818
phy,phy:u08,phy:u46,0.21818181818181817
phy,phy:u08,phy:u49,0.03636363636363636
phy,phy:u08,phy:u54,0.2
phy,phy:u08,phy:u57,0.05454545454545454
phy,phy:u08,phy:u59,0.12727272727272726
phy,phy:u09,phy:u01,0.16363636363636364
phy,phy:u09,phy:u02,0.4
phy,phy:u09,phy:u04,0.509090909090909
phy,phy:u09,phy:u05,0.18181818181818182
phy,phy:u09,phy:u07,0.23636363636363636
phy,phy:u09,phy:u08,0.16363636363636364
phy,phy:u09,phy:u10,0.10909090909090909
phy,phy:u09,phy:u12,0.05454545454545454
phy,phy:u09,phy:u14,0.23636363636363636
phy,phy:u09,phy:u15,0.32727272727272727
phy,phy:u09,phy:u16,0.7636363636363637
phy,phy:u09,phy:u18,0.2727272727272727
phy,phy:u09,phy:u19,0.6
phy,phy:u09,phy:u22,0.18181818181818182
phy,phy:u09,phy:u24,0.4909090909090909
phy,phy:u09,phy:u25,0.2909090909090909
phy,phy:u09,phy:u27,0.38181818181818183
phy,phy:u09,phy:u30,0.6363636363636364
phy,phy:u09,phy:u32,0.14545454545454545
phy,phy:u09,phy:u33,0.05454545454545454
phy,phy:u09,phy:u43,0.32727272727272727
phy,phy:u09,phy:u46,0.2545454545454545
phy,phy:u09,phy:u47,0.01818181818181818
phy,phy:u09,phy:u49,0.03636363636363636
phy,phy:u09,phy:u54,0.16363636363636364
phy,phy:u09,phy:u57,0.6727272727272727
phy,phy:u09,phy:u59,0.38181818181818183
phy,phy:u10,phy:u01,0.18181818181818182
phy,phy:u10,phy:u02,0.18181818181818182
phy,phy:u10,phy:u04,0.34545454545454546
phy,phy:u10,phy:u05,0.07272727272727272
phy,phy:u10,phy:u07,0.2909090909090909
phy,phy:u10,phy:u08,0.16363636363636364
phy,phy:u10,phy:u09,0.10909090909090909
phy,phy:u10,phy:u12,0.34545454545454546
phy,phy:u10,phy:u14,0.14545454545454545
phy,phy:u10,phy:u15,0.01818181818181818
phy,phy:u10,phy:u16,0.10909090909090909
phy,phy:u10,phy:u18,0.07272727272727272
phy,phy:u10,phy:u19,0.05454545454545454
phy,phy:u10,phy:u22,0.10909090909090909
phy,phy:u10,phy:u24,0.07272727272727272
phy,phy:u10,phy:u25,0.4
phy,phy:u10,phy:u27,0.2545454545454545
phy,phy:u10,phy:u30,0.21818181818181817
phy,phy:u10,phy:u32,0.01818181818181818
phy,phy:u10,phy:u33,0.41818181818181815
phy,phy:u10,phy:u43,0.21818181818181817
phy,phy:u10,phy:u46,0.21818181818181817
phy,phy:u10,phy:u47,0.01818181818181818
phy,phy:u10,phy:u49,0.2727272727272727
phy,phy:u10,phy:u54,0.03636363636363636
phy,phy:u10,phy:u57,0.2727272727272727
phy,phy:u10,phy:u59,0.16363636363636364
phy,phy:u12,phy:u04,0.01818181818181818
phy,phy:u12,phy:u05,0.01818181818181818
phy,phy:u12,phy:u09,0.05454545454545454
phy,phy:u12,phy:u10,0.34545454545454546
phy,phy:u12,phy:u16,0.05454545454545454
phy,phy:u12,phy:u18,0.05454545454545454
phy,phy:u12,phy:u19,0.03636363636363636
phy,phy:u12,phy:u22,0.07272727272727272
phy,phy:u12,phy:u25,0.01818181818181818
phy,phy:u12,phy:u30,0.07272727272727272
phy,phy:u12,phy:u43,0.05454545454545454
phy,phy:u12,phy:u46,0.01818181818181818
phy,phy:u12,phy:u49,0.01818181818181818
phy,phy:u12,phy:u54,0.03636363636363636
phy,phy:u12,phy:u59,0.07272727272727272
phy,phy:u14,phy:u01,0.03636363636363636
phy,phy:u14,phy:u02,0.18181818181818182
