source,target
u14,u09
u14,u59
u14,u01
u14,u02
u14,u04
u14,u05
u14,u07
u14,u08
u14,u10
u14,u12
u14,u15
u14,u16
u14,u18
u14,u19
u14,u22
u14,u24
u14,u25
u14,u27
u14,u30
u14,u32
u14,u33
u14,u43
u14,u46
u14,u47
u14,u49
u14,u54
u14,u57
u22,u09
u22,u59
u22,u01
u22,u19
u22,u57
u22,u25
u22,u02
u22,u04
u22,u05
u22,u07
u22,u08
u22,u10
u22,u12
u22,u15
u22,u16
u22,u18
u22,u24
u22,u27
u22,u30
u22,u32
u22,u33
u22,u43
u22,u46
u22,u49
u22,u54
u25,u36
u25,u09
u25,u59
u25,u01
u25,u19
u25,u20
u25,u57
u25,u47
u25,u02
u25,u04
u25,u05
u25,u07
u25,u08
u25,u10
u25,u12
u25,u15
u25,u16
u25,u18
u25,u24
u25,u27
u25,u30
u25,u32
u25,u33
u25,u43
u25,u46
u25,u49
u25,u54
u32,u09
u32,u59
u32,u01
u32,u19
u32,u57
u32,u02
u32,u04
u32,u05
u32,u07
u32,u08
u32,u10
u32,u15
u32,u16
u32,u18
u32,u24
u32,u27
u32,u30
u32,u33
u32,u43
u32,u46
u32,u49
u32,u54
u04,u36
u04,u42
u04,u09
u04,u59
u04,u01
u04,u19
u04,u57
u04,u47
u04,u49
u04,u02
u04,u05
u04,u07
u04,u08
u04,u10
u04,u12
u04,u15
u04,u16
u04,u18
u04,u24
u04,u27
u04,u30
u04,u33
u04,u43
u04,u46
u04,u54
u12,u09
u12,u59
u12,u01
u12,u19
u12,u57
u12,u49
u12,u02
u12,u05
u12,u10
u12,u15
u12,u16
u12,u18
u12,u24
u12,u30
u12,u33
u12,u43
u12,u46
u12,u54
u07,u09
u07,u59
u07,u01
u07,u19
u07,u20
u07,u57
u07,u49
u07,u27
u07,u02
u07,u05
u07,u08
u07,u10
u07,u15
u07,u16
u07,u18
u07,u24
u07,u30
u07,u33
u07,u43
u07,u46
u07,u54
u46,u36
u46,u09
u46,u59
u46,u01
u46,u19
u46,u57
u46,u47
u46,u49
u46,u27
u46,u02
u46,u05
u46,u08
u46,u10
u46,u15
u46,u16
u46,u18
u46,u24
u46,u30
u46,u33
u46,u43
u46,u54
u08,u42
u08,u09
u08,u59
u08,u01
u08,u19
u08,u57
u08,u49
u08,u27
u08,u33
u08,u24
u08,u02
u08,u05
u08,u10
u08,u15
u08,u16
u08,u18
u08,u30
u08,u43
u08,u54
u02,u09
u02,u59
u02,u01
u02,u19
u02,u20
u02,u57
u02,u49
u02,u27
u02,u33
u02,u24
u02,u15
u02,u10
u02,u05
u02,u16
u02,u18
u02,u30
u02,u43
u02,u54
u30,u09
u30,u59
u30,u01
u30,u19
u30,u20
u30,u57
u30,u47
u30,u49
u30,u27
u30,u33
u30,u24
u30,u15
u30,u10
u30,u16
u30,u05
u30,u54
u30,u43
u30,u18
u36,u01
u36,u09
u36,u10
u36,u16
u36,u59
u01,u09
u01,u59
u01,u05
u01,u10
u01,u15
u01,u16
u01,u18
u01,u19
u01,u24
u01,u27
u01,u33
u01,u43
u01,u47
u01,u49
u01,u54
u01,u57
u19,u42
u19,u09
u19,u59
u19,u05
u19,u10
u19,u15
u19,u16
u19,u18
u19,u24
u19,u27
u19,u33
u19,u43
u19,u49
u19,u54
u19,u57
u33,u42
u33,u09
u33,u59
u33,u57
u33,u47
u33,u49
u33,u27
u33,u05
u33,u10
u33,u15
u33,u16
u33,u18
u33,u24
u33,u54
u42,u09
u42,u15
u42,u18
u42,u54
u09,u05
u09,u10
u09,u15
u09,u16
u09,u18
u09,u24
u09,u27
u09,u43
u09,u47
u09,u49
u09,u54
u09,u57
u09,u59
u47,u59
u47,u20
u47,u57
u47,u10
u47,u15
u47,u16
u47,u18
u47,u24
u47,u27
u47,u43
u49,u59
u49,u57
u49,u05
u49,u10
u49,u15
u49,u16
u49,u18
u49,u24
u49,u27
u49,u43
u49,u54
u27,u59
u27,u57
u27,u05
u27,u10
u27,u15
u27,u16
u27,u18
u27,u24
u27,u43
u27,u54
u15,u59
u15,u20
u15,u57
u15,u24
u15,u05
u15,u10
u15,u16
u15,u18
u15,u43
u15,u54
u16,u59
u16,u57
u16,u24
u16,u10
u16,u05
u16,u18
u16,u43
u16,u54
u54,u59
u54,u20
u54,u57
u54,u24
u54,u10
u54,u05
u54,u18
u54,u43
u43,u59
u43,u20
u43,u57
u43,u24
u43,u10
u43,u05
u43,u18
u18,u59
u18,u57
u18,u24
u18,u10
u18,u05
u59,u05
u59,u10
u59,u20
u59,u24
u59,u57
u20,u10
u57,u05
u57,u10
u57,u24
u24,u05
u24,u10
u10,u05
