feature,importance
cross_layer_activity,0.10570823
behavioral_clustering_coef,0.103475764
physical_betweenness,0.10210405
educational_betweenness,0.08915508
degree_variance_z,0.08732206
participation_coefficient,0.081538364
physical_degree_centrality,0.08109854
behavioral_degree_centrality,0.0765196
avg_zscore,0.06131076
physical_clustering_coef,0.060477953
behavioral_betweenness,0.04991959
layer_entropy,0.043855194
educational_clustering_coef,0.039048165
total_neighbors,0.009383935
educational_degree_centrality,0.008841846
layer_coverage,0.00024085576
has_educational_layer,0.0
has_physical_layer,0.0
educational_degree_centrality_z,0.0
behavioral_degree_centrality_z,0.0
physical_degree_centrality_z,0.0
overlapping_degree,0.0
ema_mood_mean,0.0
ema_response_count,0.0
peer_avg_mood,0.0
peer_avg_stress,0.0
has_behavioral_layer,0.0
