uid,physical_degree_centrality,physical_clustering_coef,physical_betweenness,behavioral_degree_centrality,behavioral_clustering_coef,behavioral_betweenness,educational_degree_centrality,educational_clustering_coef,educational_betweenness,physical_degree_centrality_z,behavioral_degree_centrality_z,educational_degree_centrality_z,has_physical_layer,has_behavioral_layer,has_educational_layer,layer_coverage,cross_layer_activity,degree_variance_z,avg_zscore,participation_coefficient,overlapping_degree,layer_entropy,ema_mood_mean,ema_response_count,peer_avg_mood,peer_avg_stress,total_neighbors
u00,,,,0.22222222222222224,0.6666666666666666,0.0,,,,,-0.5842712664520514,,0,1,0,1,,,,,,,,,,,10
u01,0.9333333333333333,0.9074074074074074,0.22278946241030886,0.22222222222222224,0.9111111111111111,0.00101010101010101,0.022727272727272728,0.0,0.0,0.5001080597119705,-0.5842712664520514,-4.695577329534708,1,1,1,3,1.0,5.008206970153729,-1.5932468454249298,0.33661535261880227,1.0,0.8300777965180356,,,,,32
u02,0.9,0.9344729344729344,0.0,0.24444444444444446,0.5272727272727272,0.007070707070707071,0.9545454545454546,1.0,0.0027808457497536113,0.3278486169222919,-0.4382034498390385,0.2128307004888261,1,1,1,3,2.0,0.11376781722034734,0.03415862252402651,0.5957767380162127,2.0,1.402083900042828,,,,,45
u03,,,,0.22222222222222224,0.7333333333333333,0.0,0.9545454545454546,1.0,0.003191009604684908,,-0.5842712664520514,0.2128307004888261,0,1,1,2,1.0,0.15884288642525393,-0.18572028298161264,0.3063604045018329,1.0,0.69904103994259,,,,,42
u04,0.9666666666666667,0.8620689655172413,0.012370631426576299,0.2888888888888889,0.6282051282051282,0.0030303030303030303,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016492,-0.1460678166130127,0.2128307004888261,1,1,1,3,2.0,0.11220206550626555,0.24637679545915422,0.6050691155680478,2.0,1.4286523576009584,,,,,46
u05,0.8666666666666667,0.9846153846153847,0.0,0.2888888888888889,0.8076923076923077,0.0,0.9545454545454546,1.0,0.0018946251810388903,0.15558917413261322,-0.1460678166130127,0.2128307004888261,1,1,1,3,2.0,0.024786853109243844,0.07411735266947554,0.6079248455689275,2.0,1.4377246969088027,,,,,44
u07,0.8666666666666667,0.9446153846153846,0.0,0.22222222222222224,0.7555555555555555,0.00101010101010101,0.9545454545454546,1.0,0.002613937994106566,0.15558917413261322,-0.5842712664520514,0.2128307004888261,1,1,1,3,2.0,0.13178240106474878,-0.07195046394353737,0.5900850061172443,2.0,1.3858852955580327,,,,,44
u08,0.8666666666666667,0.9415384615384615,0.0,0.26666666666666666,0.5757575757575758,0.00202020202020202,0.9545454545454546,1.0,0.0026169150320907108,0.15558917413261322,-0.29213563322602576,0.2128307004888261,1,1,1,3,2.0,0.05096945484992651,0.025428080465137854,0.6023664426052355,2.0,1.4219687205262153,,,,,46
u09,0.9666666666666667,0.8620689655172413,0.01319254238729816,0.33333333333333337,0.6761904761904762,0.0,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016492,0.14606781661301307,0.2128307004888261,1,1,1,3,3.0,0.05473585715934055,0.34375533986782947,0.6150458145450342,3.0,1.4565583835936513,,,,,45
u10,0.9666666666666667,0.8669950738916257,0.018764173419379464,0.2888888888888889,0.5128205128205128,0.00202020202020202,0.9545454545454546,1.0,0.0018946251810388903,0.6723675025016492,-0.1460678166130127,0.2128307004888261,1,1,1,3,2.0,0.11220206550626555,0.24637679545915422,0.6050691155680478,2.0,1.4286523576009584,,,,,45
u12,0.7333333333333333,0.9956709956709957,4.682140931157828,0.2888888888888889,0.5769230769230769,0.00202020202020202,0.9545454545454546,1.0,0.0017319971114340763,-0.5334485970261019,-0.1460678166130127,0.2128307004888261,1,1,1,3,1.0,0.09286720050119192,-0.1555619043834295,0.6078443301550531,1.0,1.4433489253171434,,,,,45
u13,,,,0.3111111111111111,0.5934065934065934,0.02297979797979798,0.9545454545454546,1.0,0.002103724796469868,,0.0,0.2128307004888261,0,1,1,2,1.0,0.011324226767641101,0.10641535024441305,0.3707749446022284,2.0,0.8045694263039029,,,,,43
u14,0.9,0.9572649572649573,0.21762567753683512,0.2888888888888889,0.782051282051282,0.00202020202020202,0.9545454545454546,1.0,0.0031658409748651153,0.3278486169222919,-0.1460678166130127,0.2128307004888261,1,1,1,3,2.0,0.04073711696149083,0.13153716693270176,0.6072068478779378,2.0,1.4350806338213986,,,,,44
u15,0.9666666666666667,0.8669950738916257,0.15930028677228744,0.4666666666666667,0.5285714285714286,0.014141414141414142,0.9545454545454546,1.0,0.003191009604684908,0.6723675025016492,1.02247471629109,0.2128307004888261,1,1,1,3,3.0,0.1099191739862216,0.6358909730938552,0.6381283980519982,3.0,1.517241823453837,,,,,44
u16,0.9333333333333333,0.9074074074074074,0.009018045277003468,0.37777777777777777,0.7132352941176471,0.00505050505050505,0.9545454545454546,1.0,0.0031658409748651153,0.5001080597119705,0.4382034498390385,0.2128307004888261,1,1,1,3,3.0,0.015239259777268565,0.38371407001327834,0.6249933165031787,3.0,1.4833780678932786,,,,,45
u17,,,,0.37777777777777777,0.6544117647058824,0.0101010101010101,0.9545454545454546,1.0,0.0026169150320907108,,0.4382034498390385,0.2128307004888261,0,1,1,2,2.0,0.012698219037418412,0.3255170751639323,0.40629718679749693,2.0,0.860240472787976,,,,,43
u18,0.9333333333333333,0.9074074074074074,0.01739431688499916,0.26666666666666666,0.6212121212121212,0.2641414141414141,0.9545454545454546,1.0,0.0026169150320907108,0.5001080597119705,-0.29213563322602576,0.2128307004888261,1,1,1,3,2.0,0.10724103870085298,0.14026770899159027,0.6007426002084977,2.0,1.4162503870791838,,,,,44
u19,0.9,0.9316239316239316,0.1323499213978954,0.13333333333333333,0.6,0.04722222222222222,0.9545454545454546,1.0,0.0018946251810388903,0.3278486169222919,-1.1685425329041028,0.2128307004888261,1,1,1,3,2.0,0.46228973381265454,-0.2092877384976616,0.559948505353956,2.0,1.287249724298173,,,,,44
u20,0.3333333333333333,0.9333333333333333,7.937226601906722,0.4,0.46405228758169936,0.013131313131313131,0.9545454545454546,1.0,0.002103724796469868,-2.600561910502246,0.5842712664520515,0.2128307004888261,1,1,1,3,2.0,2.0218120491834495,-0.6011533145204561,0.5850139726477764,2.0,1.4194507201496882,,,,,42
u22,0.8666666666666667,0.9846153846153847,0.0,0.2,0.6944444444444444,0.07727272727272727,0.9545454545454546,1.0,0.0018946251810388903,0.15558917413261322,-0.7303390830650642,0.2128307004888261,1,1,1,3,2.0,0.1864127455388884,-0.12063973614787497,0.5833185356347315,2.0,1.3651955149203119,,,,,44
u23,,,,0.22222222222222224,0.9555555555555556,0.0,0.9545454545454546,1.0,0.002103724796469868,,-0.5842712664520514,0.2128307004888261,0,1,1,2,1.0,0.15884288642525393,-0.18572028298161264,0.3063604045018329,1.0,0.69904103994259,,,,,43
